frame number,frequency,latency
11,10,60917
12,10,11734
13,10,10426
14,10,24190
15,10,24033
16,10,17322
17,10,23779
18,10,24211
19,10,22829
20,10,11851
21,10,11472
22,10,23066
23,10,24016
24,10,15631
25,10,15800
26,10,16933
27,10,23445
28,10,23187
29,10,11514
30,10,22849
31,10,22298
32,10,27886
33,10,23342
34,10,23770
35,10,13874
36,10,11318
37,10,15802
38,10,22632
39,10,22762
40,10,23710
41,10,10217
42,10,22612
43,10,23029
44,10,10813
45,10,12315
46,10,11826
47,10,22339
48,10,26786
49,10,22634
50,10,23205
51,10,23280
52,10,23240
53,10,14790
54,10,24296
55,10,11461
56,10,11586
57,10,11527
58,10,12042
59,10,11519
60,10,11393
61,10,26529
62,10,16115
63,10,12095
64,10,22084
65,10,23131
66,10,22770
67,10,22397
68,10,22502
69,10,18257
70,10,22049
71,10,10253
72,10,26234
73,10,11362
74,10,11376
75,10,11488
76,10,11505
77,10,11312
78,10,11627
79,10,11503
80,10,11717
81,10,22572
82,10,23066
83,10,22543
84,10,26249
85,10,10343
86,10,15787
87,10,22479
88,10,16142
89,10,16407
90,10,22963
91,10,15720
92,10,23504
93,10,22926
94,10,21896
95,10,23230
96,10,42398
97,10,22064
98,10,23147
99,10,16507
100,10,23548
101,10,13996
102,10,16403
103,10,23009
104,10,22810
105,10,22757
106,10,22595
107,10,21959
108,10,12982
109,10,14080
110,10,23408
111,10,11019
112,10,10933
113,10,22477
114,10,10781
115,10,10157
116,10,11411
117,10,22863
118,10,15545
119,10,23215
120,10,22630
121,10,15855
122,10,22647
123,10,21758
124,10,11664
125,10,25087
126,10,21759
127,10,22343
128,10,23016
129,10,22060
130,10,22564
131,10,24185
132,10,11848
133,10,15729
134,10,11779
135,10,11231
136,10,22247
137,10,24052
138,10,22626
139,10,23046
140,10,22748
141,10,25704
142,10,22231
143,10,23433
144,10,15665
145,10,25959
146,10,11078
147,10,16176
148,10,22810
149,10,27625
150,10,22368
151,10,12046
152,10,39962
153,10,10727
154,10,22240
155,10,23232
156,10,13725
157,10,12949
158,10,22163
159,10,22553
160,10,22557
161,10,16007
162,10,22228
163,10,22456
164,10,22841
165,10,18522
166,10,22696
167,10,23068
168,10,21497
169,10,23190
170,10,22674
171,10,23427
172,10,23426
173,10,11635
174,10,22897
175,10,22695
176,10,22343
177,10,23167
178,10,21567
179,10,23284
180,10,11722
181,10,11957
182,10,10375
183,10,23084
184,10,23393
185,10,11901
186,10,11090
187,10,22265
188,10,22844
189,10,10992
190,10,15895
191,10,10254
192,10,17148
193,10,22352
194,10,22860
195,10,22706
196,10,22164
197,10,11762
198,10,11929
199,10,23150
200,10,22786
201,10,22364
202,10,23043
203,10,22620
204,10,36283
205,10,16099
206,10,20922
207,10,25597
208,10,22417
209,10,11430
210,10,11745
211,10,11416
212,10,10618
213,10,18699
214,10,22457
215,10,22360
216,10,24559
217,10,22277
218,10,11619
219,10,22885
220,10,22564
221,10,11720
222,10,14373
223,10,21886
224,10,22956
225,10,22504
226,10,22672
227,10,22017
228,10,23033
229,10,11815
230,10,11636
231,10,23227
232,10,23123
233,10,23724
234,10,10845
235,10,22654
236,10,21884
237,10,11423
238,10,22041
239,10,23265
240,10,22629
241,10,23074
242,10,23013
243,10,24645
244,10,22942
245,10,10203
246,10,23223
247,10,11039
248,10,21687
249,10,22677
250,10,23204
251,10,23232
252,10,28576
253,10,11747
254,10,11805
255,10,22389
256,10,10870
257,10,22795
258,10,24947
259,10,11327
260,10,11997
261,10,11226
262,10,22115
263,10,16394
264,10,22331
265,10,22845
266,10,23459
267,10,22968
268,10,22670
269,10,22722
270,10,22165
271,10,10565
272,10,23079
273,10,12981
274,10,16177
275,10,22483
276,10,23118
277,10,13293
278,10,13301
279,10,22654
280,10,23953
281,10,22368
282,10,22498
283,10,22148
284,10,11617
285,10,10324
286,10,11651
287,10,11434
288,10,11310
289,10,23140
290,10,22266
291,10,15959
292,10,23047
293,10,11206
294,10,15864
295,10,26653
296,10,11151
297,10,11582
298,10,11458
299,10,11678
300,10,11287
301,10,13521
302,10,12698
303,10,11702
304,10,21259
305,10,23409
306,10,21509
307,10,21983
308,10,22430
309,10,11068
310,10,10282
311,10,22021
312,10,12744
313,10,15983
314,10,22011
315,10,23083
316,10,21927
317,10,22262
318,10,10860
319,10,22781
320,10,42507
321,10,22895
322,10,22716
323,10,22274
324,10,10601
325,10,14687
326,10,9807
327,10,12443
328,10,22139
329,10,23265
330,10,23172
331,10,22933
332,10,22977
333,10,11850
334,10,12514
335,10,11122
336,10,16090
337,10,22118
338,10,16090
339,10,10808
340,10,22601
341,10,15779
342,10,26984
343,10,22446
344,10,22391
345,10,22863
346,10,22746
347,10,23308
348,10,15465
349,10,24883
350,10,37348
351,10,11293
352,10,18401
353,10,11759
354,10,13787
355,10,10487
356,10,22943
357,10,21519
358,10,23295
359,10,21228
360,10,21561
361,10,23498
362,10,22641
363,10,22626
364,10,12121
365,10,11625
366,10,13958
367,10,15624
368,10,15998
369,10,11031
370,10,11332
371,10,12031
372,10,11358
373,10,22492
374,10,15867
375,10,15699
376,10,11653
377,10,11619
378,10,22101
379,10,22502
380,10,21583
381,10,22927
382,10,16139
383,10,11276
384,10,23448
385,10,15844
386,10,25271
387,10,22844
388,10,23846
389,10,11229
390,10,21836
391,10,11012
392,10,22317
393,10,24980
394,10,23665
395,10,22845
396,10,10704
397,10,23057
398,10,23322
399,10,27965
400,10,12740
401,10,11760
402,10,22676
403,10,24397
404,10,22663
405,10,11061
406,10,27334
407,10,21641
408,10,24969
409,10,10528
410,10,11883
411,10,22809
412,10,22827
413,10,16077
414,10,10798
415,10,22015
416,10,22137
417,10,22794
418,10,24934
419,10,22764
420,10,18636
421,10,11260
422,10,18094
423,10,22321
424,10,12976
425,10,9958
426,10,23770
427,10,22034
428,10,22022
429,10,51635
430,10,19956
431,10,22116
432,10,22552
433,10,24004
434,10,21837
435,10,22586
436,10,13208
437,10,23382
438,10,11519
439,10,22282
440,10,22116
441,10,11584
442,10,11709
443,10,12554
444,10,22660
445,10,22192
446,10,19055
447,10,31906
448,10,11890
449,10,22091
450,10,22645
451,10,22634
452,10,23181
453,10,22521
454,10,11954
455,10,22684
456,10,23253
457,10,15391
458,10,10563
459,10,26081
460,10,23957
461,10,24048
462,10,11350
463,10,23699
464,10,10709
465,10,22538
466,10,22585
467,10,22708
468,10,22610
469,10,22579
470,10,10474
471,10,17690
472,10,11979
473,10,10263
474,10,23121
475,10,22927
476,10,22474
477,10,23998
478,10,10442
479,10,22761
480,10,11290
481,10,11956
482,10,22627
483,10,10927
484,10,11744
485,10,22019
486,10,11450
487,10,22037
488,10,10690
489,10,10612
490,10,23385
491,10,22884
492,10,21566
493,10,24802
494,10,11384
495,10,22875
496,10,13556
497,10,11796
498,10,22138
499,10,24012
500,10,21850
501,10,14742
502,10,13147
503,10,11447
504,10,22609
505,10,22302
506,10,22584
507,10,22399
508,10,22492
509,10,22271
510,10,11831
511,10,22909
512,10,23151
513,10,22564
514,10,23565
515,10,22884
516,10,22740
517,10,23504
518,10,11527
519,10,14210
520,10,12849
521,10,11484
522,10,11470
523,10,12961
524,10,11312
525,10,11289
526,10,12392
527,10,22049
528,10,22028
529,10,11766
530,10,15618
531,10,22201
532,10,16029
533,10,19350
534,10,18283
535,10,23418
536,10,10578
537,10,22719
538,10,21882
539,10,22172
540,10,11805
541,10,22667
542,10,12789
543,10,21895
544,10,11565
545,10,13785
546,10,22901
547,10,22226
548,10,11807
549,10,21998
550,10,13345
551,10,22207
552,10,44575
553,10,22332
554,10,18006
555,10,11366
556,10,21678
557,10,22648
558,10,14698
559,10,12344
560,10,11504
561,10,22446
562,10,24546
563,10,23001
564,10,15708
565,10,21440
566,10,11820
567,10,22024
568,10,13230
569,10,11361
570,10,10820
571,10,22412
572,10,22967
573,10,11433
574,10,24728
575,10,23273
576,10,22516
577,10,23839
578,10,11480
579,10,22162
580,10,23810
581,10,21309
582,10,12658
583,10,22255
584,10,21584
585,10,22657
586,10,22701
587,10,22249
588,10,21988
589,10,22073
590,10,11464
591,10,23033
592,10,12245
593,10,13572
594,10,21907
595,10,11473
596,10,11770
597,10,11707
598,10,13502
599,10,22940
600,10,23434
601,10,14196
602,10,22497
603,10,21809
604,10,23154
605,10,22279
606,10,12058
607,10,10435
608,10,22407
609,10,22398
610,10,22374
611,10,22839
612,10,22895
613,10,10641
614,10,12162
615,10,22180
616,10,13865
617,10,12399
618,10,10527
619,10,23143
620,10,22753
621,10,10795
622,10,15529
623,10,22712
624,10,23266
625,10,22109
626,10,23841
627,10,22360
628,10,11656
629,10,25949
630,10,12194
631,10,23316
632,10,11718
633,10,11960
634,10,22770
635,10,23397
636,10,15573
637,10,10674
638,10,19314
639,10,22665
640,10,22405
641,10,13590
642,10,11601
643,10,22981
644,10,16351
645,10,22580
646,10,18437
647,10,21848
648,10,23676
649,10,22802
650,10,23102
651,10,10425
652,10,10530
653,10,21767
654,10,14574
655,10,21941
656,10,23321
657,10,23172
658,10,22962
659,10,10951
660,10,22758
661,10,10421
662,10,18143
663,10,22445
664,10,16196
665,10,12542
666,10,11698
667,10,22575
668,10,11643
669,10,26456
670,10,16961
671,10,22933
672,10,23139
673,10,11533
674,10,11577
675,10,11592
676,10,22276
677,10,23432
678,10,28335
679,10,22630
680,10,22509
681,10,27038
682,10,46736
683,10,22344
684,10,24176
685,10,22387
686,10,13681
687,10,12821
688,10,22348
689,10,30912
690,10,12347
691,10,12751
692,10,12287
693,10,12304
694,10,22330
695,10,22300
696,10,25650
697,10,22772
698,10,22702
699,10,22865
700,10,24997
701,10,22940
702,10,18832
703,10,22141
704,10,21859
705,10,23218
706,10,22844
707,10,14485
708,10,23019
709,10,22164
710,10,11722
711,10,11662
712,10,23585
713,10,12730
714,10,10161
715,10,23232
716,10,22546
717,10,22365
718,10,14362
719,10,23044
720,10,16237
721,10,22268
722,10,22575
723,10,23895
724,10,23474
725,10,22575
726,10,11727
727,10,21856
728,10,22331
729,10,17083
730,10,10804
731,10,21653
732,10,16093
733,10,22560
734,10,13786
735,10,17106
736,10,10093
737,10,12583
738,10,15388
739,10,22345
740,10,22437
741,10,12073
742,10,25112
743,10,11339
744,10,11948
745,10,11710
746,10,11435
747,10,11319
748,10,12260
749,10,11355
750,10,11728
751,10,11826
752,10,11437
753,10,22981
754,10,22818
755,10,22663
756,10,22338
757,10,22576
758,10,16127
759,10,11012
760,10,22658
761,10,22246
762,10,13222
763,10,10514
764,10,11415
765,10,23057
766,10,11222
767,10,11675
768,10,24911
769,10,10077
770,10,23287
771,10,24558
772,10,10724
773,10,22002
774,10,12449
775,10,12766
776,10,21623
777,10,22522
778,10,22291
779,10,10804
780,10,15520
781,10,22711
782,10,27220
783,10,13031
784,10,12748
785,10,22940
786,10,32233
787,10,11757
788,10,21921
789,10,12204
790,10,21580
791,10,17177
792,10,15797
793,10,22153
794,10,16337
795,10,17576
796,10,23703
797,10,24475
798,10,22945
799,10,40940
800,10,23057
801,10,24948
802,10,15230
803,10,12339
804,10,13082
805,10,12894
806,10,11521
807,10,23791
808,10,22031
809,10,11553
810,10,15887
811,10,13589
812,10,10208
813,10,10825
814,10,23000
815,10,23483
816,10,22547
817,10,22636
818,10,22237
819,10,22818
820,10,22340
821,10,22220
822,10,22441
823,10,18047
824,10,10507
825,10,22678
826,10,22927
