frame number,frequency,latency
0,0,212028
1,0,161067
2,0,117332
3,0,123191
4,0,109308
5,0,118101
6,0,118553
7,0,121338
8,0,110428
9,0,123570
10,0,126850
11,0,110206
12,0,121872
13,0,122832
14,0,122031
15,0,110479
16,0,119327
17,0,115759
18,0,122716
19,0,110042
20,0,119103
21,0,115561
22,0,121162
23,0,111260
24,0,121106
25,0,110794
26,0,116371
27,0,111329
28,0,122007
29,0,122383
30,0,122988
31,0,113876
32,0,118120
33,0,114941
34,0,121136
35,0,112977
36,0,118360
37,0,113977
38,0,120780
39,0,109899
40,0,118622
41,0,113536
42,0,121653
43,0,113083
44,0,120422
45,0,116418
46,0,126884
47,0,112734
48,0,121192
49,0,118067
50,0,122048
51,0,113366
52,0,119901
53,0,120474
54,0,121272
55,0,112073
56,0,118056
57,0,119143
58,0,120928
59,0,113144
60,0,117674
61,0,118384
62,0,121369
63,0,112615
64,0,117541
65,0,119057
66,0,121512
67,0,122768
68,0,117129
69,0,122659
70,0,111807
71,0,119638
72,0,115952
73,0,125310
74,0,113307
75,0,119650
76,0,117497
77,0,123699
78,0,112665
79,0,120098
80,0,118887
81,0,123402
82,0,121441
83,0,116946
84,0,122244
85,0,113389
86,0,120618
87,0,117692
88,0,121778
89,0,113139
90,0,120168
91,0,119369
92,0,122975
93,0,111713
94,0,118288
95,0,118661
96,0,124950
97,0,121379
98,0,116339
99,0,123029
100,0,111234
101,0,120502
102,0,116938
103,0,123309
104,0,112209
105,0,118940
106,0,118761
107,0,122379
108,0,111868
109,0,117554
110,0,118242
111,0,128018
112,0,121863
113,0,118184
114,0,123512
115,0,113047
116,0,120289
117,0,117808
118,0,124819
119,0,111961
120,0,123863
121,0,122908
122,0,112243
123,0,120538
124,0,116105
125,0,122262
126,0,111613
127,0,120681
128,0,117362
129,0,122614
130,0,112275
131,0,119822
132,0,119617
133,0,123321
134,0,112247
135,0,119982
136,0,119545
137,0,112699
138,0,122337
139,0,124380
140,0,123889
141,0,110976
142,0,118804
143,0,117384
144,0,121898
145,0,112282
146,0,119055
147,0,118581
148,0,122473
149,0,113749
150,0,118473
151,0,118217
152,0,112948
153,0,123106
154,0,114645
155,0,126216
156,0,110934
157,0,123502
158,0,116289
159,0,124070
160,0,111087
161,0,122661
162,0,117250
163,0,122655
164,0,113152
165,0,121682
166,0,118210
167,0,122992
168,0,111506
169,0,117330
170,0,116381
171,0,112142
172,0,108287
173,0,123242
174,0,115792
175,0,120556
176,0,110983
177,0,122412
178,0,117044
179,0,122332
180,0,110997
181,0,118084
182,0,117150
183,0,124041
184,0,110202
185,0,120377
186,0,120267
187,0,125237
188,0,110988
189,0,117604
190,0,118594
191,0,110418
192,0,113034
193,0,109326
194,0,114169
195,0,121299
196,0,110842
197,0,120271
198,0,117236
199,0,121419
200,0,110342
201,0,121948
202,0,114880
203,0,121552
204,0,110249
205,0,121179
206,0,116321
207,0,118390
208,0,113945
209,0,110587
210,0,112440
211,0,120211
212,0,109450
213,0,125401
214,0,113243
215,0,121131
216,0,111464
217,0,121408
218,0,114925
219,0,121773
220,0,112882
221,0,121054
222,0,114667
223,0,122733
224,0,109455
225,0,124273
226,0,116047
227,0,124216
228,0,109340
229,0,124203
230,0,117211
231,0,122457
232,0,109616
233,0,110535
234,0,117560
235,0,122607
236,0,110870
237,0,118267
238,0,116195
239,0,121649
240,0,111261
241,0,118687
242,0,111808
243,0,120300
244,0,113667
245,0,110278
246,0,114217
247,0,121504
248,0,110693
249,0,128243
250,0,121792
251,0,112747
252,0,121865
253,0,122601
254,0,122522
255,0,111077
256,0,119690
257,0,116333
258,0,121803
259,0,110656
260,0,118465
261,0,117124
262,0,122297
263,0,111920
264,0,119843
265,0,117496
266,0,122118
267,0,110891
268,0,117935
269,0,117741
270,0,123136
271,0,112367
272,0,117603
273,0,118232
274,0,121430
275,0,111124
276,0,116968
277,0,117900
278,0,111625
279,0,110522
280,0,118874
281,0,117211
282,0,122290
283,0,110612
284,0,118068
285,0,118738
286,0,122544
287,0,111836
288,0,118997
289,0,117636
290,0,121028
291,0,111288
292,0,119320
293,0,118969
294,0,121276
295,0,110969
296,0,117032
297,0,117311
298,0,120365
299,0,112813
300,0,117470
301,0,118244
302,0,111203
303,0,111377
304,0,118811
305,0,117896
306,0,121910
307,0,112703
308,0,119039
309,0,118387
310,0,122332
311,0,125696
312,0,120670
313,0,121642
314,0,110126
315,0,113802
316,0,116271
317,0,120469
318,0,121240
319,0,121524
320,0,120410
321,0,112133
322,0,118505
323,0,116793
324,0,120183
325,0,110893
326,0,117697
327,0,116360
328,0,119872
329,0,112367
330,0,118144
331,0,116344
332,0,122105
333,0,110551
334,0,117675
335,0,121028
336,0,122338
337,0,111412
338,0,116765
339,0,117025
340,0,164611
341,0,123003
342,0,115881
343,0,128383
344,0,111862
345,0,120077
346,0,121091
347,0,121473
348,0,109944
349,0,119089
350,0,114862
351,0,121969
352,0,109678
353,0,116768
354,0,114090
355,0,119112
356,0,110386
357,0,117704
358,0,116482
359,0,119363
360,0,109558
361,0,117873
362,0,114537
363,0,120279
364,0,109345
365,0,118132
366,0,114590
367,0,119667
368,0,109686
369,0,122476
370,0,114811
371,0,119300
372,0,109984
373,0,119371
374,0,113326
375,0,120564
376,0,109334
377,0,117203
378,0,113500
379,0,118896
380,0,109817
381,0,116938
382,0,114675
383,0,119323
384,0,108598
385,0,118296
386,0,113876
387,0,118829
388,0,108488
389,0,117394
390,0,112457
391,0,118427
392,0,108505
393,0,118288
394,0,114221
395,0,119772
396,0,119291
397,0,119726
398,0,108801
399,0,130394
400,0,107607
401,0,118426
402,0,113040
403,0,118711
404,0,109047
405,0,118576
406,0,112549
407,0,118627
408,0,108201
409,0,118798
410,0,112791
411,0,119603
412,0,108779
413,0,111083
414,0,115881
415,0,115794
416,0,121085
417,0,110865
418,0,116383
419,0,117469
420,0,118960
421,0,110365
422,0,116473
423,0,117769
424,0,121631
425,0,109625
426,0,116521
427,0,116197
428,0,125695
429,0,110844
430,0,115474
431,0,117345
432,0,111511
433,0,112145
434,0,115293
435,0,114937
436,0,118861
437,0,108674
438,0,116565
439,0,115389
440,0,119100
441,0,105685
442,0,124048
443,0,119401
444,0,109170
445,0,120546
446,0,114710
447,0,118576
448,0,108066
449,0,118070
450,0,112996
451,0,119255
452,0,108401
453,0,119404
454,0,111766
455,0,119392
456,0,108469
457,0,110233
458,0,116998
459,0,115803
460,0,119598
461,0,112064
462,0,115786
463,0,118439
464,0,120550
465,0,110306
466,0,115440
467,0,118949
468,0,110999
469,0,109084
470,0,116152
471,0,114876
472,0,117941
473,0,109538
474,0,117295
475,0,115635
476,0,118796
477,0,109288
478,0,117995
479,0,119757
480,0,120186
481,0,109553
482,0,116730
483,0,118047
484,0,120220
485,0,111352
486,0,115769
487,0,121335
488,0,119765
489,0,112040
490,0,115818
491,0,116220
492,0,110975
493,0,109163
494,0,116943
495,0,114702
496,0,119328
497,0,109754
498,0,116843
499,0,114660
500,0,119928
501,0,110317
502,0,117136
503,0,114770
504,0,119871
505,0,110119
506,0,117260
507,0,114571
508,0,118724
509,0,109486
510,0,117219
511,0,115839
512,0,120166
513,0,108980
514,0,117247
515,0,116477
516,0,119565
517,0,141214
518,0,117969
519,0,119771
520,0,110692
521,0,110995
522,0,117400
523,0,116274
524,0,119047
525,0,109056
526,0,119634
527,0,119468
528,0,110391
529,0,119837
530,0,112564
531,0,119272
532,0,109984
533,0,120249
534,0,115559
535,0,117384
536,0,110137
537,0,117553
538,0,113389
539,0,118747
540,0,109680
541,0,119539
542,0,112683
543,0,118751
544,0,109750
545,0,118423
546,0,118617
547,0,119229
548,0,109552
549,0,118890
550,0,113568
551,0,120896
552,0,119834
553,0,109759
554,0,113714
555,0,121509
556,0,109859
557,0,119344
558,0,115549
559,0,119183
560,0,109823
561,0,117212
562,0,115212
563,0,120503
564,0,109613
565,0,117343
566,0,114223
567,0,123390
568,0,108274
569,0,117316
570,0,115278
571,0,119208
572,0,108807
573,0,119232
574,0,115288
575,0,119310
576,0,110801
577,0,120687
578,0,120458
579,0,111515
580,0,109481
581,0,116459
582,0,115692
583,0,119023
584,0,109666
585,0,118573
586,0,119566
587,0,111767
588,0,108829
589,0,116591
590,0,113429
591,0,120047
592,0,110739
593,0,119619
594,0,120166
595,0,114906
596,0,118717
597,0,114242
598,0,119614
599,0,109593
600,0,118685
601,0,119932
602,0,120120
603,0,110404
604,0,109182
605,0,113710
606,0,118515
607,0,109446
608,0,119349
609,0,114302
610,0,117609
611,0,109682
612,0,118868
613,0,115113
614,0,118282
615,0,109419
616,0,117580
617,0,117976
618,0,119335
619,0,109973
620,0,118078
621,0,114669
622,0,119750
623,0,110419
624,0,118784
625,0,120316
626,0,111008
627,0,110034
628,0,117752
629,0,115229
630,0,118892
631,0,110279
632,0,118198
633,0,120688
634,0,121519
635,0,111040
636,0,116957
637,0,117588
638,0,110940
639,0,120659
640,0,113852
641,0,120517
642,0,113181
643,0,120098
644,0,113218
645,0,121437
646,0,110955
647,0,118666
648,0,116949
649,0,120830
650,0,109383
651,0,117090
652,0,114849
653,0,119667
654,0,109437
655,0,119431
656,0,115975
657,0,120177
658,0,110583
659,0,117183
660,0,114461
661,0,121666
662,0,109974
663,0,117315
664,0,116763
665,0,120169
666,0,109263
667,0,117194
668,0,115976
669,0,119462
670,0,109589
671,0,116965
672,0,121084
673,0,111328
674,0,110478
675,0,120046
676,0,115777
677,0,122034
678,0,111575
679,0,120205
680,0,116960
681,0,120953
682,0,113317
683,0,122045
684,0,118078
685,0,121607
686,0,106661
687,0,121990
688,0,120962
689,0,110684
690,0,121189
691,0,121838
692,0,121311
693,0,112217
694,0,118430
695,0,115984
696,0,120925
697,0,110246
698,0,118025
699,0,115666
700,0,120876
701,0,113110
702,0,119448
703,0,114833
