frame number,image_height,image_width,publisher_sent,subscriber_received,frequency,latency,packets_receieved_count,transport
22,1920,1080,1704077033942358213,1704077034114082384,50,171724171,1,1
47,1920,1080,1704077037990415488,1704077038122906925,50,132491437,2,1
63,1920,1080,1704077040442496474,1704077040579618195,50,137121721,3,1
76,1920,1080,1704077042432872553,1704077042566826747,50,133954194,4,1
80,1920,1080,1704077043074116443,1704077043215276077,50,141159634,5,1
85,1920,1080,1704077044008618937,1704077044146758387,50,138139450,6,1
109,1920,1080,1704077047818784995,1704077047952252159,50,133467164,7,1
141,1920,1080,1704077053104910333,1704077053249140822,50,144230489,8,1
151,1920,1080,1704077054835652865,1704077054973236614,50,137583749,9,1
154,1920,1080,1704077055409482965,1704077055542803453,50,133320488,10,1
170,1920,1080,1704077057958491548,1704077058103068391,50,144576843,11,1
184,1920,1080,1704077060248777972,1704077060374826683,50,126048711,12,1
200,1920,1080,1704077062647332020,1704077062778318699,50,130986679,13,1
244,1920,1080,1704077069475279003,1704077069614855207,50,139576204,14,1
270,1920,1080,1704077073333911694,1704077073456185840,50,122274146,15,1
273,1920,1080,1704077073887736571,1704077074025206979,50,137470408,16,1
274,1920,1080,1704077074087340113,1704077074218446800,50,131106687,17,1
295,1920,1080,1704077077614211178,1704077077747830685,50,133619507,18,1
298,1920,1080,1704077078161579993,1704077078301942912,50,140362919,19,1
28,1920,1080,1704077082632774821,1704077082772913060,100,140138239,20,1
35,1920,1080,1704077083701607199,1704077083852149408,100,150542209,21,1
74,1920,1080,1704077089054014597,1704077089180413662,100,126399065,22,1
86,1920,1080,1704077090882782126,1704077091006862716,100,124080590,23,1
116,1920,1080,1704077095600461366,1704077095738747824,100,138286458,24,1
141,1920,1080,1704077099706820879,1704077099844136945,100,137316066,25,1
145,1920,1080,1704077100378848652,1704077100514502284,100,135653632,26,1
155,1920,1080,1704077101916010678,1704077102048973812,100,132963134,27,1
159,1920,1080,1704077102536161279,1704077102674910433,100,138749154,28,1
167,1920,1080,1704077103813602418,1704077103954174017,100,140571599,29,1
189,1920,1080,1704077107158816041,1704077107295234718,100,136418677,30,1
216,1920,1080,1704077111521093876,1704077111658726961,100,137633085,31,1
259,1920,1080,1704077117744293875,1704077117871514324,100,127220449,32,1
262,1920,1080,1704077118285737995,1704077118422017664,100,136279669,33,1
268,1920,1080,1704077119282409293,1704077119411845211,100,129435918,34,1
269,1920,1080,1704077119463865726,1704077119600274737,100,136409011,35,1
28,1920,1080,1704077128294438551,1704077128428480417,150,134041866,36,1
