frame number,image_height,image_width,publisher_sent,subscriber_received,frequency,latency,packets_receieved_count,transport
50,1920,1080,1704077449305013744,1704077449465968257,50,160954513,1,2
51,1920,1080,1704077449514112535,1704077449638840832,50,124728297,2,2
52,1920,1080,1704077449710694228,1704077449840779186,50,130084958,3,2
54,1920,1080,1704077450055660331,1704077450182337080,50,126676749,4,2
68,1920,1080,1704077453035045593,1704077453165202888,50,130157295,5,2
121,1920,1080,1704077464676101727,1704077464808414821,50,132313094,6,2
137,1920,1080,1704077467668248104,1704077467798759421,50,130511317,7,2
143,1920,1080,1704077468757509739,1704077468887936051,50,130426312,8,2
185,1920,1080,1704077477729288583,1704077477854635585,50,125347002,9,2
191,1920,1080,1704077478703766863,1704077478829201537,50,125434674,10,2
199,1920,1080,1704077479939222108,1704077480403964872,50,464742764,11,2
200,1920,1080,1704077480482009647,1704077480618592669,50,136583022,12,2
222,1920,1080,1704077485317689801,1704077485449079839,50,131390038,13,2
239,1920,1080,1704077488754853735,1704077488884021970,50,129168235,14,2
240,1920,1080,1704077488957348123,1704077489088718826,50,131370703,15,2
243,1920,1080,1704077489464369140,1704077489593643381,50,129274241,16,2
245,1920,1080,1704077489821181301,1704077489958317023,50,137135722,17,2
266,1920,1080,1704077494013135409,1704077494145972202,50,132836793,18,2
277,1920,1080,1704077495934940642,1704077496405238412,50,470297770,19,2
34,1920,1080,1704077508017127768,1704077508489498332,100,472370564,20,2
51,1920,1080,1704077511049345597,1704077511176158355,100,126812758,21,2
53,1920,1080,1704077511384174414,1704077511514593726,100,130419312,22,2
67,1920,1080,1704077513866002240,1704077514001002832,100,135000592,23,2
70,1920,1080,1704077514371141475,1704077514516163346,100,145021871,24,2
76,1920,1080,1704077515354863987,1704077515480382999,100,125519012,25,2
90,1920,1080,1704077517944664085,1704077518078266925,100,133602840,26,2
116,1920,1080,1704077522815336715,1704077522940666382,100,125329667,27,2
131,1920,1080,1704077525899277376,1704077526034333971,100,135056595,28,2
134,1920,1080,1704077526370448200,1704077526498848721,100,128400521,29,2
