frame number,image_height,image_width,publisher_sent,subscriber_received,frequency,latency,packets_receieved_count,transport
13,1920,1080,1704137996954091093,1704137997104044419,5,149953326,1,1
17,1920,1080,1704137998379058713,1704137998508526431,5,129467718,2,1
27,1920,1080,1704138001778300446,1704138001907702493,5,129402047,3,1
32,1920,1080,1704138003564503862,1704138003700044958,5,135541096,4,1
45,1920,1080,1704138007842675583,1704138007988838006,5,146162423,5,1
49,1920,1080,1704138009193502588,1704138009325089771,5,131587183,6,1
51,1920,1080,1704138009936918152,1704138010070465791,5,133547639,7,1
78,1920,1080,1704138018554783065,1704138018679127465,5,124344400,8,1
98,1920,1080,1704138025132616103,1704138025257694548,5,125078445,9,1
112,1920,1080,1704138029709249358,1704138029855052424,5,145803066,10,1
113,1920,1080,1704138030093454915,1704138030229184355,5,135729440,11,1
114,1920,1080,1704138030471513424,1704138030603597637,5,132084213,12,1
145,1920,1080,1704138040488820640,1704138040610363864,5,121543224,13,1
150,1920,1080,1704138042283624906,1704138042415079746,5,131454840,14,1
279,1920,1080,1704138083763132177,1704138083900665727,5,137533550,15,1
282,1920,1080,1704138084862029827,1704138084998732992,5,136703165,16,1
283,1920,1080,1704138085242485479,1704138085377372865,5,134887386,17,1
288,1920,1080,1704138086980058501,1704138087107406418,5,127347917,18,1
315,1920,1080,1704138094549311059,1704138094673135424,10,123824365,19,1
331,1920,1080,1704138098111092814,1704138098246470896,10,135378082,20,1
375,1920,1080,1704138108111284135,1704138108245195793,10,133911658,21,1
377,1920,1080,1704138108606099561,1704138108749233459,10,143133898,22,1
395,1920,1080,1704138112804798563,1704138112929894672,10,125096109,23,1
403,1920,1080,1704138114625079715,1704138114769776043,10,144696328,24,1
438,1920,1080,1704138122734111112,1704138122868044770,10,133933658,25,1
442,1920,1080,1704138123734838984,1704138123856288199,10,121449215,26,1
467,1920,1080,1704138129616876272,1704138129758271394,10,141395122,27,1
536,1920,1080,1704138145258978200,1704138145389530315,10,130552115,28,1
610,1920,1080,1704138161859199626,1704138161982819643,15,123620017,29,1
626,1920,1080,1704138165147278318,1704138165268449516,15,121171198,30,1
642,1920,1080,1704138168364664614,1704138168505327023,15,140662409,31,1
659,1920,1080,1704138171877280256,1704138172007874706,15,130594450,32,1
676,1920,1080,1704138175635337150,1704138175777793004,15,142455854,33,1
687,1920,1080,1704138178060250522,1704138178194413860,15,134163338,34,1
715,1920,1080,1704138183862814139,1704138183996103422,15,133289283,35,1
735,1920,1080,1704138188095520522,1704138188233599769,15,138079247,36,1
737,1920,1080,1704138188585619646,1704138188722299140,15,136679494,37,1
742,1920,1080,1704138189627255713,1704138189762516453,15,135260740,38,1
745,1920,1080,1704138190335853750,1704138190463652692,15,127798942,39,1
753,1920,1080,1704138192024137670,1704138192158075660,15,133937990,40,1
784,1920,1080,1704138198178290454,1704138198319354887,15,141064433,41,1
786,1920,1080,1704138198645909514,1704138198789233087,15,143323573,42,1
830,1920,1080,1704138207237011063,1704138207369956991,15,132945928,43,1
849,1920,1080,1704138211485727089,1704138211619875758,15,134148669,44,1
909,1920,1080,1704138223477312591,1704138223615113487,20,137800896,45,1
932,1920,1080,1704138227903953660,1704138228041940568,20,137986908,46,1
933,1920,1080,1704138228131434795,1704138228251052562,20,119617767,47,1
940,1920,1080,1704138229476401037,1704138229626926057,20,150525020,48,1
951,1920,1080,1704138231737954567,1704138231869036045,20,131081478,49,1
990,1920,1080,1704138238747894816,1704138238871353487,20,123458671,50,1
997,1920,1080,1704138240085027901,1704138240217298120,20,132270219,51,1
1026,1920,1080,1704138245044637741,1704138245180250834,20,135613093,52,1
1027,1920,1080,1704138245278585277,1704138245410336797,20,131751520,53,1
1073,1920,1080,1704138253344704802,1704138253475195577,20,130490775,54,1
1087,1920,1080,1704138256020082035,1704138256139762805,20,119680770,55,1
1095,1920,1080,1704138257505269316,1704138257631211808,20,125942492,56,1
1135,1920,1080,1704138264846777802,1704138264973166321,20,126388519,57,1
1136,1920,1080,1704138265069774990,1704138265194497740,20,124722750,58,1
1143,1920,1080,1704138266468967926,1704138266605161721,20,136193795,59,1
1145,1920,1080,1704138266848782858,1704138266981817791,20,133034933,60,1
1146,1920,1080,1704138267077775419,1704138267217752116,20,139976697,61,1
1165,1920,1080,1704138270286232101,1704138270420784461,20,134552360,62,1
1173,1920,1080,1704138271873483720,1704138272017255986,20,143772266,63,1
1235,1920,1080,1704138283100353919,1704138283236798063,25,136444144,64,1
1249,1920,1080,1704138285870398021,1704138285998981010,25,128582989,65,1
1250,1920,1080,1704138286082932559,1704138286223650635,25,140718076,66,1
1255,1920,1080,1704138287067111705,1704138287199442260,25,132330555,67,1
1268,1920,1080,1704138289410164943,1704138289544479622,25,134314679,68,1
1280,1920,1080,1704138291675791704,1704138291806429487,25,130637783,69,1
1284,1920,1080,1704138292400685073,1704138292522513976,25,121828903,70,1
1310,1920,1080,1704138297203963825,1704138297341043674,25,137079849,71,1
1321,1920,1080,1704138299036134986,1704138299170879357,25,134744371,72,1
1323,1920,1080,1704138299404727219,1704138299526952146,25,122224927,73,1
1343,1920,1080,1704138302704061863,1704138302844428584,25,140366721,74,1
1344,1920,1080,1704138302922715447,1704138303046885828,25,124170381,75,1
1345,1920,1080,1704138303122704872,1704138303257175893,25,134471021,76,1
1346,1920,1080,1704138303334042002,1704138303459839150,25,125797148,77,1
1371,1920,1080,1704138307430114142,1704138307559820534,25,129706392,78,1
1373,1920,1080,1704138307838035818,1704138307990134267,25,152098449,79,1
1422,1920,1080,1704138316082267660,1704138316226687299,25,144419639,80,1
1436,1920,1080,1704138318368531026,1704138318510632521,25,142101495,81,1
1441,1920,1080,1704138319316339575,1704138319457211993,25,140872418,82,1
1443,1920,1080,1704138319721019382,1704138319860517715,25,139498333,83,1
1516,1920,1080,1704138332700852397,1704138332833230288,30,132377891,84,1
1522,1920,1080,1704138333784096691,1704138333905869255,30,121772564,85,1
1526,1920,1080,1704138334527853894,1704138334664850738,30,136996844,86,1
1561,1920,1080,1704138340606203824,1704138340737497980,30,131294156,87,1
1578,1920,1080,1704138343715488309,1704138343859245573,30,143757264,88,1
1590,1920,1080,1704138345784461835,1704138345914602919,30,130141084,89,1
1619,1920,1080,1704138350607323097,1704138350738258231,30,130935134,90,1
1641,1920,1080,1704138354526890579,1704138354656784648,30,129894069,91,1
1646,1920,1080,1704138355527467400,1704138355667395759,30,139928359,92,1
1649,1920,1080,1704138356083913299,1704138356217437594,30,133524295,93,1
1662,1920,1080,1704138358274069016,1704138358410908849,30,136839833,94,1
1672,1920,1080,1704138359873660380,1704138360012682016,30,139021636,95,1
1674,1920,1080,1704138360231168588,1704138360361901375,30,130732787,96,1
1688,1920,1080,1704138362450764465,1704138362591942568,30,141178103,97,1
1697,1920,1080,1704138364207347247,1704138364333508751,30,126161504,98,1
1732,1920,1080,1704138370230360714,1704138370364753396,30,134392682,99,1
1753,1920,1080,1704138374030831787,1704138374157971018,30,127139231,100,1
1765,1920,1080,1704138376123649452,1704138376255264961,30,131615509,101,1
1770,1920,1080,1704138376962207873,1704138377093487028,30,131279155,102,1
1778,1920,1080,1704138378357154855,1704138378490800490,30,133645635,103,1
1786,1920,1080,1704138379781616003,1704138379921667703,30,140051700,104,1
1818,1920,1080,1704138385188512855,1704138385318668272,35,130155417,105,1
1825,1920,1080,1704138386397681629,1704138386535198504,35,137516875,106,1
1828,1920,1080,1704138386994258685,1704138387125020140,35,130761455,107,1
1862,1920,1080,1704138392227812431,1704138392362220779,35,134408348,108,1
1890,1920,1080,1704138397026478161,1704138397152320644,35,125842483,109,1
1895,1920,1080,1704138397914259304,1704138398044009030,35,129749726,110,1
1902,1920,1080,1704138399157746207,1704138399296856848,35,139110641,111,1
1905,1920,1080,1704138399683737878,1704138399833816200,35,150078322,112,1
1916,1920,1080,1704138401273960652,1704138401422648554,35,148687902,113,1
1918,1920,1080,1704138401631864882,1704138401763209041,35,131344159,114,1
1983,1920,1080,1704138412251592497,1704138412390200773,35,138608276,115,1
2002,1920,1080,1704138415361419319,1704138415499235546,35,137816227,116,1
2019,1920,1080,1704138418073215752,1704138418206826384,35,133610632,117,1
2038,1920,1080,1704138421065769288,1704138421195510346,35,129741058,118,1
2049,1920,1080,1704138422848373006,1704138422974786191,35,126413185,119,1
2057,1920,1080,1704138424138376462,1704138424272152104,35,133775642,120,1
2108,1920,1080,1704138432044354499,1704138432175845332,40,131490833,121,1
2113,1920,1080,1704138432889417652,1704138433034074969,40,144657317,122,1
2127,1920,1080,1704138435285796488,1704138435420892879,40,135096391,123,1
2129,1920,1080,1704138435677392143,1704138435805397093,40,128004950,124,1
2137,1920,1080,1704138437022025323,1704138437153805841,40,131780518,125,1
2138,1920,1080,1704138437226612029,1704138437355507035,40,128895006,126,1
2164,1920,1080,1704138441525050998,1704138441660728758,40,135677760,127,1
2191,1920,1080,1704138445553818216,1704138445682120851,40,128302635,128,1
2192,1920,1080,1704138445738479685,1704138445875200843,40,136721158,129,1
2198,1920,1080,1704138446713352898,1704138446845739787,40,132386889,130,1
2203,1920,1080,1704138447609794907,1704138447739460960,40,129666053,131,1
2204,1920,1080,1704138447807882543,1704138447946715166,40,138832623,132,1
2220,1920,1080,1704138450449279259,1704138450582733214,40,133453955,133,1
2233,1920,1080,1704138452575408640,1704138452707507177,40,132098537,134,1
2270,1920,1080,1704138458658646781,1704138458793175803,40,134529022,135,1
2273,1920,1080,1704138459232175401,1704138459356028093,40,123852692,136,1
2275,1920,1080,1704138459554475417,1704138459684251144,40,129775727,137,1
2276,1920,1080,1704138459746364002,1704138459874827980,40,128463978,138,1
2277,1920,1080,1704138459938082242,1704138460070287452,40,132205210,139,1
2317,1920,1080,1704138466190589167,1704138466327094725,40,136505558,140,1
2337,1920,1080,1704138469259487906,1704138469389891081,40,130403175,141,1
2338,1920,1080,1704138469465726502,1704138469601270667,40,135544165,142,1
2339,1920,1080,1704138469674446254,1704138469815530099,40,141083845,143,1
2342,1920,1080,1704138470255697361,1704138470390896837,40,135199476,144,1
2369,1920,1080,1704138474393249079,1704138474526794117,40,133545038,145,1
2380,1920,1080,1704138476342851627,1704138476472581426,40,129729799,146,1
2385,1920,1080,1704138477193211932,1704138477324202143,40,130990211,147,1
2389,1920,1080,1704138477935375787,1704138478079668166,40,144292379,148,1
2394,1920,1080,1704138478878462570,1704138479012122948,40,133660378,149,1
2465,1920,1080,1704138490134057702,1704138490267041703,45,132984001,150,1
2473,1920,1080,1704138491409713981,1704138491542928996,45,133215015,151,1
2474,1920,1080,1704138491600780955,1704138491736994825,45,136213870,152,1
2505,1920,1080,1704138496302464260,1704138496434843223,45,132378963,153,1
2527,1920,1080,1704138500003263828,1704138500137603579,45,134339751,154,1
2528,1920,1080,1704138500204139748,1704138500334738264,45,130598516,155,1
2534,1920,1080,1704138501205184139,1704138501339396216,45,134212077,156,1
2579,1920,1080,1704138508328051424,1704138508461954480,45,133903056,157,1
