frame number,image_height,image_width,publisher_sent,subscriber_received,frequency,latency,packets_receieved_count,transport
7,1920,1080,1704140256404198179,1704140256878086625,5,473888446,1,2
8,1920,1080,1704140257105095064,1704140257221613638,5,116518574,2,2
45,1920,1080,1704140274283444486,1704140274400780777,5,117336291,3,2
47,1920,1080,1704140275002393493,1704140275129164036,5,126770543,4,2
59,1920,1080,1704140280018751862,1704140280138441299,5,119689437,5,2
105,1920,1080,1704140300562941412,1704140301044295322,5,481353910,6,2
106,1920,1080,1704140301298567788,1704140301430145964,5,131578176,7,2
130,1920,1080,1704140311382808719,1704140311500207013,5,117398294,8,2
145,1920,1080,1704140318157067644,1704140318282289092,5,125221448,9,2
200,1920,1080,1704140343685840222,1704140344160793733,5,474953511,10,2
277,1920,1080,1704140380245762194,1704140380373307786,5,127545592,11,2
278,1920,1080,1704140380609060767,1704140381088731571,5,479670804,12,2
284,1920,1080,1704140383646814515,1704140384128942805,5,482128290,13,2
303,1920,1080,1704140392544059003,1704140392675438833,10,131379830,14,2
306,1920,1080,1704140393261326903,1704140393386756696,10,125429793,15,2
334,1920,1080,1704140402661828324,1704140403169497201,10,507668877,16,2
341,1920,1080,1704140405110972498,1704140405241471940,10,130499442,17,2
356,1920,1080,1704140409714830219,1704140410193001262,10,478171043,18,2
363,1920,1080,1704140412469046014,1704140412594159454,10,125113440,19,2
376,1920,1080,1704140415922771272,1704140416035290263,10,112518991,20,2
387,1920,1080,1704140418755079252,1704140419228714014,10,473634762,21,2
428,1920,1080,1704140432686878877,1704140433182455335,10,495576458,22,2
463,1920,1080,1704140444440237478,1704140444579529466,10,139291988,23,2
488,1920,1080,1704140451764082193,1704140452231826922,10,467744729,24,2
515,1920,1080,1704140459839523939,1704140460313252040,10,473728101,25,2
517,1920,1080,1704140460722472132,1704140461197168293,10,474696161,26,2
519,1920,1080,1704140461621290644,1704140461744889990,10,123599346,27,2
530,1920,1080,1704140465242008940,1704140465377226675,10,135217735,28,2
541,1920,1080,1704140468572972900,1704140468707867281,10,134894381,29,2
548,1920,1080,1704140471349921437,1704140471483175050,10,133253613,30,2
554,1920,1080,1704140472825883475,1704140473297749126,10,471865651,31,2
559,1920,1080,1704140474446198482,1704140474577135950,10,130937468,32,2
593,1920,1080,1704140484923678132,1704140485049891641,10,126213509,33,2
600,1920,1080,1704140486922822676,1704140487413717509,10,490894833,34,2
620,1920,1080,1704140493368929182,1704140493495237697,15,126308515,35,2
622,1920,1080,1704140493864014609,1704140494339522487,15,475507878,36,2
625,1920,1080,1704140494817770201,1704140495294938848,15,477168647,37,2
630,1920,1080,1704140496589841969,1704140496715482108,15,125640139,38,2
645,1920,1080,1704140500921570772,1704140501396055919,15,474485147,39,2
653,1920,1080,1704140503389034078,1704140503523994130,15,134960052,40,2
679,1920,1080,1704140509427730270,1704140509565961858,15,138231588,41,2
735,1920,1080,1704140525043418707,1704140525176330195,15,132911488,42,2
777,1920,1080,1704140536021357602,1704140536504091604,15,482734002,43,2
794,1920,1080,1704140541674711947,1704140541808124120,15,133412173,44,2
795,1920,1080,1704140541937106999,1704140542438108191,15,501001192,45,2
798,1920,1080,1704140543014159353,1704140543481782996,15,467623643,46,2
799,1920,1080,1704140543605831214,1704140543722263926,15,116432712,47,2
802,1920,1080,1704140544591834524,1704140544715006016,15,123171492,48,2
803,1920,1080,1704140544839874620,1704140544966605347,15,126730727,49,2
835,1920,1080,1704140553566359996,1704140553697231989,15,130871993,50,2
841,1920,1080,1704140555453799878,1704140555581311647,15,127511769,51,2
842,1920,1080,1704140555701730947,1704140555817721954,15,115991007,52,2
851,1920,1080,1704140558343630369,1704140558477902249,15,134271880,53,2
869,1920,1080,1704140563549213563,1704140563680947604,15,131734041,54,2
878,1920,1080,1704140566267201536,1704140566774856750,15,507655214,55,2
892,1920,1080,1704140571001262639,1704140571477706441,15,476443802,56,2
908,1920,1080,1704140575062368826,1704140575547367847,20,484999021,57,2
911,1920,1080,1704140576009463355,1704140576473238971,20,463775616,58,2
919,1920,1080,1704140577950281138,1704140578110334035,20,160052897,59,2
934,1920,1080,1704140581295391895,1704140581421069521,20,125677626,60,2
942,1920,1080,1704140582819943482,1704140582949668374,20,129724892,61,2
943,1920,1080,1704140583055803376,1704140583521276749,20,465473373,62,2
945,1920,1080,1704140583870288773,1704140583997004466,20,126715693,63,2
956,1920,1080,1704140586128078361,1704140586287805561,20,159727200,64,2
964,1920,1080,1704140588118806972,1704140588599929695,20,481122723,65,2
