frame number,image_height,image_width,publisher_sent,subscriber_received,frequency,latency,packets_receieved_count,transport
28,1920,1080,1704143853443300680,1704143853591883062,5,148582382,1,3
30,1920,1080,1704143854201216537,1704143854323440254,5,122223717,2,3
36,1920,1080,1704143857417649962,1704143857539030293,5,121380331,3,3
42,1920,1080,1704143859579363121,1704143860047320334,5,467957213,4,3
53,1920,1080,1704143864575953269,1704143865041430325,5,465477056,5,3
84,1920,1080,1704143880129174225,1704143880260848204,5,131673979,6,3
86,1920,1080,1704143880878767215,1704143881005982913,5,127215698,7,3
90,1920,1080,1704143882677968467,1704143883144982617,5,467014150,8,3
117,1920,1080,1704143893852837926,1704143893965291358,5,112453432,9,3
120,1920,1080,1704143894846886010,1704143894969455414,5,122569404,10,3
122,1920,1080,1704143895542317577,1704143896032253505,5,489935928,11,3
124,1920,1080,1704143896643011060,1704143897145489112,5,502478052,12,3
167,1920,1080,1704143916342312856,1704143916461107354,5,118794498,13,3
180,1920,1080,1704143922620020422,1704143923093278959,5,473258537,14,3
186,1920,1080,1704143925615284804,1704143926079885127,5,464600323,15,3
211,1920,1080,1704143936506898876,1704143936626649434,5,119750558,16,3
231,1920,1080,1704143945531196398,1704143945656092280,5,124895882,17,3
282,1920,1080,1704143969687002398,1704143970177797701,5,490795303,18,3
285,1920,1080,1704143971527678211,1704143971659475528,5,131797317,19,3
304,1920,1080,1704143979373821290,1704143979494507572,10,120686282,20,3
348,1920,1080,1704143992809903706,1704143993294228263,10,484324557,21,3
464,1920,1080,1704144028783939546,1704144029285321507,10,501381961,22,3
481,1920,1080,1704144034310508169,1704144034427178528,10,116670359,23,3
483,1920,1080,1704144034869644772,1704144035370037337,10,500392565,24,3
487,1920,1080,1704144036735997835,1704144036863471543,10,127473708,25,3
519,1920,1080,1704144045914383460,1704144046396523205,10,482139745,26,3
560,1920,1080,1704144059234946991,1704144059360185224,10,125238233,27,3
593,1920,1080,1704144069300626187,1704144069435913053,10,135286866,28,3
622,1920,1080,1704144078997321418,1704144079462130733,15,464809315,29,3
629,1920,1080,1704144080990971154,1704144081480401021,15,489429867,30,3
641,1920,1080,1704144084726380402,1704144084848921130,15,122540728,31,3
659,1920,1080,1704144089975203423,1704144090443007926,15,467804503,32,3
663,1920,1080,1704144091580024298,1704144091712331975,15,132307677,33,3
690,1920,1080,1704144098479017042,1704144098610393327,15,131376285,34,3
691,1920,1080,1704144098744590124,1704144098879722645,15,135132521,35,3
692,1920,1080,1704144099004147492,1704144099485933875,15,481786383,36,3
693,1920,1080,1704144099617199153,1704144099737651082,15,120451929,37,3
703,1920,1080,1704144101891385569,1704144102014019302,15,122633733,38,3
705,1920,1080,1704144102325237262,1704144102444104424,15,118867162,39,3
715,1920,1080,1704144105340846431,1704144105482576369,15,141729938,40,3
722,1920,1080,1704144106910652425,1704144107065320845,15,154668420,41,3
758,1920,1080,1704144117408945443,1704144117530220757,15,121275314,42,3
759,1920,1080,1704144117655669001,1704144117784128102,15,128459101,43,3
796,1920,1080,1704144128872718314,1704144128991120446,15,118402132,44,3
802,1920,1080,1704144130168388680,1704144130285362389,15,116973709,45,3
836,1920,1080,1704144138900830630,1704144139031600542,15,130769912,46,3
847,1920,1080,1704144141838898884,1704144141963974437,15,125075553,47,3
874,1920,1080,1704144149760377679,1704144149889228470,15,128850791,48,3
878,1920,1080,1704144150652511595,1704144150775383009,15,122871414,49,3
880,1920,1080,1704144151461792287,1704144151604975982,15,143183695,50,3
923,1920,1080,1704144162430924880,1704144162562128486,20,131203606,51,3
954,1920,1080,1704144171080715556,1704144171212747213,20,132031657,52,3
965,1920,1080,1704144173672176269,1704144173810690669,20,138514400,53,3
995,1920,1080,1704144181030417166,1704144181155072025,20,124654859,54,3
1011,1920,1080,1704144185770862019,1704144185899101437,20,128239418,55,3
1012,1920,1080,1704144186002906314,1704144186124361304,20,121454990,56,3
1052,1920,1080,1704144196269009505,1704144196734492849,20,465483344,57,3
1070,1920,1080,1704144201160596537,1704144201293174228,20,132577691,58,3
1128,1920,1080,1704144215745589279,1704144215867733645,20,122144366,59,3
1134,1920,1080,1704144217378905237,1704144217508149384,20,129244147,60,3
1142,1920,1080,1704144219378260601,1704144219506068324,20,127807723,61,3
1201,1920,1080,1704144234016298966,1704144234174355262,20,158056296,62,3
1202,1920,1080,1704144234290491916,1704144234785904477,20,495412561,63,3
1273,1920,1080,1704144252465806192,1704144252597213808,25,131407616,64,3
1316,1920,1080,1704144261755724721,1704144261886066269,25,130341548,65,3
1319,1920,1080,1704144262385703427,1704144262506163019,25,120459592,66,3
1325,1920,1080,1704144263688933899,1704144263809146809,25,120212910,67,3
1338,1920,1080,1704144266448358151,1704144266929760159,25,481402008,68,3
1390,1920,1080,1704144280121659917,1704144280244067632,25,122407715,69,3
1395,1920,1080,1704144281850338866,1704144282003505186,25,153166320,70,3
1398,1920,1080,1704144282544056587,1704144282673458075,25,129401488,71,3
1408,1920,1080,1704144284462281147,1704144284937667774,25,475386627,72,3
1409,1920,1080,1704144285031198669,1704144285153395370,25,122196701,73,3
1454,1920,1080,1704144296327493922,1704144296455992353,25,128498431,74,3
1458,1920,1080,1704144297109793556,1704144297240456124,25,130662568,75,3
1464,1920,1080,1704144298564709580,1704144299053833072,25,489123492,76,3
1468,1920,1080,1704144300003184901,1704144300133635789,25,130450888,77,3
1490,1920,1080,1704144305071768658,1704144305188667025,25,116898367,78,3
1537,1920,1080,1704144316247857964,1704144316376792423,30,128934459,79,3
1556,1920,1080,1704144320204429965,1704144320332810055,30,128380090,80,3
1603,1920,1080,1704144331648738478,1704144332115324880,30,466586402,81,3
1623,1920,1080,1704144336675134884,1704144337131128952,30,455994068,82,3
1678,1920,1080,1704144351038865661,1704144351183737790,30,144872129,83,3
1680,1920,1080,1704144351492646922,1704144351621825728,30,129178806,84,3
1689,1920,1080,1704144353463977806,1704144353594075671,30,130097865,85,3
1695,1920,1080,1704144355260137319,1704144355397667318,30,137529999,86,3
1696,1920,1080,1704144355493220339,1704144355623330871,30,130110532,87,3
1697,1920,1080,1704144356074247284,1704144356201082943,30,126835659,88,3
1787,1920,1080,1704144377236243037,1704144377359217452,30,122974415,89,3
1788,1920,1080,1704144377455666863,1704144377609263541,30,153596678,90,3
1842,1920,1080,1704144389684842060,1704144389809974278,35,125132218,91,3
1844,1920,1080,1704144390052517226,1704144390172508120,35,119990894,92,3
1908,1920,1080,1704144406201181015,1704144406338083640,35,136902625,93,3
1917,1920,1080,1704144408305872952,1704144408434027360,35,128154408,94,3
1920,1920,1080,1704144408871468921,1704144409371941786,35,500472865,95,3
1929,1920,1080,1704144411586249296,1704144411714859732,35,128610436,96,3
1930,1920,1080,1704144411812396544,1704144412315886599,35,503490055,97,3
1942,1920,1080,1704144414729469663,1704144414852008049,35,122538386,98,3
1982,1920,1080,1704144423896347199,1704144424385240334,35,488893135,99,3
2061,1920,1080,1704144442322735409,1704144442443900042,35,121164633,100,3
2068,1920,1080,1704144443540385454,1704144443669728602,35,129343148,101,3
2070,1920,1080,1704144443914020659,1704144444039615571,35,125594912,102,3
2106,1920,1080,1704144451002375217,1704144451497480408,35,495105191,103,3
2118,1920,1080,1704144453926370424,1704144454054958858,40,128588434,104,3
2136,1920,1080,1704144458343137004,1704144458468655911,40,125518907,105,3
2138,1920,1080,1704144458742104138,1704144458871917982,40,129813844,106,3
2166,1920,1080,1704144464528410325,1704144464655262316,40,126851991,107,3
2170,1920,1080,1704144465373253214,1704144465496357635,40,123104421,108,3
2184,1920,1080,1704144468031987038,1704144468499259141,40,467272103,109,3
2186,1920,1080,1704144468784993808,1704144468915715043,40,130721235,110,3
2211,1920,1080,1704144474525425098,1704144474662442729,40,137017631,111,3
2222,1920,1080,1704144477039403133,1704144477167664880,40,128261747,112,3
2262,1920,1080,1704144485982150812,1704144486113401746,40,131250934,113,3
2268,1920,1080,1704144487113531415,1704144487591634200,40,478102785,114,3
2270,1920,1080,1704144487889926323,1704144488021448609,40,131522286,115,3
2285,1920,1080,1704144491496193162,1704144491625223623,40,129030461,116,3
2297,1920,1080,1704144494684917364,1704144494818109087,40,133191723,117,3
2339,1920,1080,1704144504178474387,1704144504646893560,40,468419173,118,3
2366,1920,1080,1704144510732300556,1704144510853736872,40,121436316,119,3
2396,1920,1080,1704144516747145103,1704144516873057368,40,125912265,120,3
2431,1920,1080,1704144523555931323,1704144523683939387,45,128008064,121,3
2432,1920,1080,1704144523772638974,1704144523902012456,45,129373482,122,3
2439,1920,1080,1704144525033138039,1704144525149605375,45,116467336,123,3
2470,1920,1080,1704144531728303429,1704144531845972508,45,117669079,124,3
2489,1920,1080,1704144536286226527,1704144536764718333,45,478491806,125,3
2498,1920,1080,1704144539061880360,1704144539190980159,45,129099799,126,3
2501,1920,1080,1704144540065439906,1704144540194327024,45,128887118,127,3
2525,1920,1080,1704144545644216967,1704144545789469449,45,145252482,128,3
2591,1920,1080,1704144560917223295,1704144561044272297,45,127049002,129,3
2596,1920,1080,1704144562172128670,1704144562302468546,45,130339876,130,3
2620,1920,1080,1704144567014334991,1704144567140763955,45,126428964,131,3
2631,1920,1080,1704144568897107911,1704144569024499935,45,127392024,132,3
2682,1920,1080,1704144579124719759,1704144579241372773,45,116653014,133,3
2690,1920,1080,1704144581171628681,1704144581307246890,45,135618209,134,3
2705,1920,1080,1704144584594366591,1704144584719060111,45,124693520,135,3
2745,1920,1080,1704144592472295767,1704144592936867360,50,464571593,136,3
2797,1920,1080,1704144604281788220,1704144604408592873,50,126804653,137,3
2812,1920,1080,1704144608265906560,1704144608395248750,50,129342190,138,3
2865,1920,1080,1704144621511215421,1704144621979366879,50,468151458,139,3
2904,1920,1080,1704144630037580190,1704144630153926267,50,116346077,140,3
3049,1920,1080,1704144663136612420,1704144663250099668,55,113487248,141,3
3063,1920,1080,1704144666255671479,1704144666385917416,55,130245937,142,3
3066,1920,1080,1704144667240903854,1704144667370056725,55,129152871,143,3
3089,1920,1080,1704144671938695519,1704144672064787205,55,126091686,144,3
3106,1920,1080,1704144675447227412,1704144675576415621,55,129188209,145,3
3130,1920,1080,1704144681468719593,1704144681598967537,55,130247944,146,3
3131,1920,1080,1704144681682327954,1704144681811699177,55,129371223,147,3
3139,1920,1080,1704144683404755007,1704144683530192991,55,125437984,148,3
3201,1920,1080,1704144697745126334,1704144698212949889,55,467823555,149,3
3204,1920,1080,1704144698690845727,1704144698818022490,55,127176763,150,3
3234,1920,1080,1704144704758800509,1704144704887709380,55,128908871,151,3
3240,1920,1080,1704144705772032378,1704144706242736787,55,470704409,152,3
3268,1920,1080,1704144712428392562,1704144712555698671,55,127306109,153,3
3344,1920,1080,1704144729222491788,1704144729363779425,60,141287637,154,3
3353,1920,1080,1704144730789341240,1704144730921655996,60,132314756,155,3
3354,1920,1080,1704144730997469297,1704144731122429603,60,124960306,156,3
3389,1920,1080,1704144738051630961,1704144738168984805,60,117353844,157,3
3417,1920,1080,1704144744662977342,1704144744792621939,60,129644597,158,3
3511,1920,1080,1704144763807657662,1704144763929701468,60,122043806,159,3
3536,1920,1080,1704144770587151470,1704144770713643217,60,126491747,160,3
3562,1920,1080,1704144776001203751,1704144776129920636,60,128716885,161,3
3593,1920,1080,1704144782900511450,1704144783028880982,60,128369532,162,3
3607,1920,1080,1704144786103655404,1704144786244520371,60,140864967,163,3
3609,1920,1080,1704144786446489082,1704144786572816490,60,126327408,164,3
3655,1920,1080,1704144795118902330,1704144795242228224,65,123325894,165,3
3691,1920,1080,1704144802142795003,1704144802603176902,65,460381899,166,3
3693,1920,1080,1704144802861891435,1704144803027450254,65,165558819,167,3
3697,1920,1080,1704144803947883369,1704144804080958530,65,133075161,168,3
3723,1920,1080,1704144809853586267,1704144809984345288,65,130759021,169,3
3724,1920,1080,1704144810054069898,1704144810188929838,65,134859940,170,3
3725,1920,1080,1704144810259219816,1704144810384681179,65,125461363,171,3
3781,1920,1080,1704144822072222308,1704144822233382532,65,161160224,172,3
3790,1920,1080,1704144824042276219,1704144824167015542,65,124739323,173,3
3791,1920,1080,1704144824235003049,1704144824357252552,65,122249503,174,3
3813,1920,1080,1704144829080934841,1704144829240388296,65,159453455,175,3
3845,1920,1080,1704144835219949086,1704144835681802445,65,461853359,176,3
3869,1920,1080,1704144839878640503,1704144840006442685,65,127802182,177,3
3882,1920,1080,1704144842744068489,1704144842860266293,65,116197804,178,3
3883,1920,1080,1704144842935682592,1704144843050785328,65,115102736,179,3
3885,1920,1080,1704144843312396730,1704144843441736341,65,129339611,180,3
3886,1920,1080,1704144843516853955,1704144843643721747,65,126867792,181,3
3890,1920,1080,1704144844253134179,1704144844736829224,65,483695045,182,3
3899,1920,1080,1704144846571841610,1704144846701685919,65,129844309,183,3
3918,1920,1080,1704144850836037576,1704144850958987464,70,122949888,184,3
3964,1920,1080,1704144858868356145,1704144858993165815,70,124809670,185,3
3965,1920,1080,1704144859065340917,1704144859192859088,70,127518171,186,3
3970,1920,1080,1704144859952508774,1704144860080275627,70,127766853,187,3
3976,1920,1080,1704144861350198344,1704144861808664856,70,458466512,188,3
3984,1920,1080,1704144863685927242,1704144863835658779,70,149731537,189,3
4008,1920,1080,1704144868919199614,1704144869048207212,70,129007598,190,3
4010,1920,1080,1704144869246230386,1704144869370317682,70,124087296,191,3
4029,1920,1080,1704144873921609183,1704144874047031228,70,125422045,192,3
4039,1920,1080,1704144876155986579,1704144876289331112,70,133344533,193,3
4058,1920,1080,1704144881235295622,1704144881376959335,70,141663713,194,3
4064,1920,1080,1704144882285589221,1704144882417681346,70,132092125,195,3
4078,1920,1080,1704144885151695517,1704144885273608683,70,121913166,196,3
4090,1920,1080,1704144887984510447,1704144888143842250,70,159331803,197,3
4092,1920,1080,1704144888381409865,1704144888509310067,70,127900202,198,3
4144,1920,1080,1704144900305211899,1704144900433946489,70,128734590,199,3
4205,1920,1080,1704144912432230402,1704144912567174043,70,134943641,200,3
4214,1920,1080,1704144914367655234,1704144914495657116,70,128001882,201,3
4230,1920,1080,1704144917273789182,1704144917399044229,75,125255047,202,3
4260,1920,1080,1704144923568324497,1704144924031856380,75,463531883,203,3
4310,1920,1080,1704144934101927047,1704144934221967443,75,120040396,204,3
4347,1920,1080,1704144940668445660,1704144940796695564,75,128249904,205,3
4355,1920,1080,1704144942069516001,1704144942199608352,75,130092351,206,3
4363,1920,1080,1704144944116303475,1704144944258760921,75,142457446,207,3
4388,1920,1080,1704144948753467285,1704144948882126882,75,128659597,208,3
4399,1920,1080,1704144950656311244,1704144951144921697,75,488610453,209,3
4430,1920,1080,1704144957481835696,1704144957614310197,75,132474501,210,3
4466,1920,1080,1704144966193168861,1704144966321710789,75,128541928,211,3
4495,1920,1080,1704144972772247637,1704144972899171799,75,126924162,212,3
4560,1920,1080,1704144988438409512,1704144988565529356,80,127119844,213,3
4600,1920,1080,1704144997057344447,1704144997185097666,80,127753219,214,3
4631,1920,1080,1704145002842083535,1704145002965233137,80,123149602,215,3
4632,1920,1080,1704145003029298426,1704145003152986395,80,123687969,216,3
4636,1920,1080,1704145004157941103,1704145004295382588,80,137441485,217,3
4638,1920,1080,1704145004545086671,1704145004679494969,80,134408298,218,3
4743,1920,1080,1704145024748163949,1704145024882179894,80,134015945,219,3
4750,1920,1080,1704145025861998418,1704145025993523542,80,131525124,220,3
4758,1920,1080,1704145027311248942,1704145027442305372,80,131056430,221,3
4815,1920,1080,1704145039051927653,1704145039167832815,80,115905162,222,3
