frame number,image_height,image_width,publisher_sent,subscriber_received,frequency,latency,packets_receieved_count,transport
51,1920,1080,1704147431747144368,1704147431903616090,5,156471722,1,1
94,1920,1080,1704147445943423161,1704147446083139177,5,139716016,2,1
111,1920,1080,1704147451620496621,1704147451741282460,5,120785839,3,1
151,1920,1080,1704147464227159104,1704147464343966697,5,116807593,4,1
216,1920,1080,1704147485001275030,1704147485137697844,5,136422814,5,1
295,1920,1080,1704147510491913422,1704147510619471353,5,127557931,6,1
296,1920,1080,1704147510856894448,1704147510985894135,5,128999687,7,1
326,1920,1080,1704147518089739832,1704147518214063562,10,124323730,8,1
349,1920,1080,1704147523461346839,1704147523591090240,10,129743401,9,1
364,1920,1080,1704147527238424706,1704147527371993345,10,133568639,10,1
369,1920,1080,1704147528540936701,1704147528678822275,10,137885574,11,1
371,1920,1080,1704147529073802503,1704147529213766540,10,139964037,12,1
410,1920,1080,1704147537896091793,1704147538021168571,10,125076778,13,1
422,1920,1080,1704147540805110701,1704147540939308047,10,134197346,14,1
424,1920,1080,1704147541331982134,1704147541462815604,10,130833470,15,1
454,1920,1080,1704147548762036219,1704147548889661490,10,127625271,16,1
484,1920,1080,1704147555420577010,1704147555543056628,10,122479618,17,1
553,1920,1080,1704147571226630472,1704147571357029583,10,130399111,18,1
568,1920,1080,1704147574955748770,1704147575087885990,10,132137220,19,1
575,1920,1080,1704147576704166197,1704147576838931914,10,134765717,20,1
580,1920,1080,1704147577862842606,1704147577993696080,10,130853474,21,1
628,1920,1080,1704147588187116191,1704147588312837679,15,125721488,22,1
640,1920,1080,1704147590755671316,1704147590891103742,15,135432426,23,1
653,1920,1080,1704147593114582068,1704147593247916696,15,133334628,24,1
663,1920,1080,1704147595153600254,1704147595278665701,15,125065447,25,1
664,1920,1080,1704147595383323546,1704147595517827247,15,134503701,26,1
667,1920,1080,1704147596077279052,1704147596214188570,15,136909518,27,1
670,1920,1080,1704147596740870336,1704147596872479858,15,131609522,28,1
671,1920,1080,1704147596987643022,1704147597112046095,15,124403073,29,1
703,1920,1080,1704147603073834341,1704147603202851035,15,129016694,30,1
705,1920,1080,1704147603491951688,1704147603616857126,15,124905438,31,1
723,1920,1080,1704147607324695151,1704147607458065115,15,133369964,32,1
733,1920,1080,1704147609344984516,1704147609485463923,15,140479407,33,1
763,1920,1080,1704147615238001512,1704147615370263742,15,132262230,34,1
767,1920,1080,1704147616187467589,1704147616323734068,15,136266479,35,1
801,1920,1080,1704147623238096633,1704147623368358071,15,130261438,36,1
816,1920,1080,1704147626544288026,1704147626680985199,15,136697173,37,1
831,1920,1080,1704147629750858892,1704147629877874796,15,127015904,38,1
833,1920,1080,1704147630203156704,1704147630325372309,15,122215605,39,1
876,1920,1080,1704147638851934571,1704147638973812489,15,121877918,40,1
907,1920,1080,1704147644866098174,1704147644998027051,20,131928877,41,1
917,1920,1080,1704147646631502040,1704147646761717143,20,130215103,42,1
922,1920,1080,1704147647718437017,1704147647845402918,20,126965901,43,1
926,1920,1080,1704147648417072495,1704147648547791297,20,130718802,44,1
929,1920,1080,1704147649022951868,1704147649144525434,20,121573566,45,1
951,1920,1080,1704147653552195745,1704147653677450206,20,125254461,46,1
954,1920,1080,1704147654095167870,1704147654223844545,20,128676675,47,1
959,1920,1080,1704147655158719728,1704147655294954207,20,136234479,48,1
995,1920,1080,1704147661639815095,1704147661777423659,20,137608564,49,1
1009,1920,1080,1704147664451528760,1704147664591298125,20,139769365,50,1
1014,1920,1080,1704147665399847783,1704147665536952316,20,137104533,51,1
1083,1920,1080,1704147678405139594,1704147678535435371,20,130295777,52,1
1085,1920,1080,1704147678791782327,1704147678935027577,20,143245250,53,1
1103,1920,1080,1704147682256453320,1704147682387041115,20,130587795,54,1
1117,1920,1080,1704147685074877090,1704147685208308729,20,133431639,55,1
1150,1920,1080,1704147690768924865,1704147690900366381,20,131441516,56,1
1151,1920,1080,1704147690993273831,1704147691123388597,20,130114766,57,1
1156,1920,1080,1704147692063160763,1704147692197145771,20,133985008,58,1
1157,1920,1080,1704147692284407536,1704147692406174782,20,121767246,59,1
1158,1920,1080,1704147692494247598,1704147692628159268,20,133911670,60,1
1187,1920,1080,1704147697972237605,1704147698106838317,20,134600712,61,1
1189,1920,1080,1704147698398425469,1704147698533620218,20,135194749,62,1
1190,1920,1080,1704147698633263088,1704147698753491572,20,120228484,63,1
1194,1920,1080,1704147699502676877,1704147699636939568,20,134262691,64,1
1209,1920,1080,1704147702351462220,1704147702484057141,25,132594921,65,1
1240,1920,1080,1704147707827176103,1704147707960393063,25,133216960,66,1
1241,1920,1080,1704147708040148695,1704147708176204165,25,136055470,67,1
1265,1920,1080,1704147712080651904,1704147712228932135,25,148280231,68,1
1282,1920,1080,1704147715387142754,1704147715520246374,25,133103620,69,1
1283,1920,1080,1704147715599575313,1704147715721860592,25,122285279,70,1
1289,1920,1080,1704147716700825540,1704147716824441903,25,123616363,71,1
1295,1920,1080,1704147717703280951,1704147717829795827,25,126514876,72,1
1371,1920,1080,1704147730680074216,1704147730818617842,25,138543626,73,1
1376,1920,1080,1704147731622950588,1704147731750516197,25,127565609,74,1
1378,1920,1080,1704147732028223488,1704147732160136368,25,131912880,75,1
1380,1920,1080,1704147732440207806,1704147732581207918,25,141000112,76,1
1390,1920,1080,1704147734409463750,1704147734542991398,25,133527648,77,1
