frame number,frequency,latency
1,0,235314
2,0,150847
3,0,128906
4,0,127243
5,0,127320
6,0,128631
7,0,142527
8,0,132860
9,0,126440
10,0,127868
11,0,125825
12,0,125990
13,0,125998
14,0,126592
15,0,126420
16,0,126891
17,0,127897
18,0,126690
19,0,125684
20,0,126684
21,0,126236
22,0,126780
23,0,129301
24,0,135756
25,0,129146
26,0,126880
27,0,127277
28,0,126765
29,0,127338
30,0,127650
31,0,132642
32,0,129011
33,0,127564
34,0,127972
35,0,127991
36,0,129110
37,0,130616
38,0,127998
39,0,128887
40,0,129323
41,0,127809
42,0,126140
43,0,126748
44,0,129040
45,0,128675
46,0,127758
47,0,127204
48,0,126849
49,0,127314
50,0,127245
51,0,127944
52,0,127606
53,0,127944
54,0,127368
55,0,127078
56,0,126731
57,0,127015
58,0,128498
59,0,128288
60,0,127540
61,0,126334
62,0,129285
63,0,127720
64,0,130261
65,0,129240
66,0,131822
67,0,127084
68,0,127440
69,0,126805
71,0,118775
72,0,128966
73,0,128730
74,0,128288
75,0,127997
76,0,129308
77,0,129630
78,0,128052
79,0,129313
80,0,134892
81,0,129455
82,0,126757
83,0,127109
84,0,127643
85,0,133416
86,0,127778
87,0,127144
88,0,127345
89,0,127148
90,0,130108
91,0,127685
92,0,130399
93,0,130192
94,0,127182
95,0,127651
96,0,127097
97,0,127360
98,0,129809
99,0,129327
100,0,128471
101,0,134432
102,0,127047
103,0,128384
104,0,129272
105,0,131151
106,0,130276
107,0,129491
108,0,128832
109,0,128936
110,0,128094
111,0,127324
112,0,129125
113,0,130330
114,0,122844
115,0,132179
116,0,127987
117,0,128821
118,0,129666
119,0,130397
120,0,127713
121,0,133547
122,0,130310
123,0,128140
124,0,127018
125,0,127494
126,0,133509
127,0,130872
128,0,128346
129,0,127925
130,0,126991
131,0,127571
132,0,127557
133,0,128238
134,0,129843
135,0,128186
136,0,131056
137,0,127664
138,0,127446
139,0,127448
140,0,128511
141,0,129582
142,0,129170
143,0,125541
144,0,124773
145,0,127754
146,0,126689
147,0,128259
148,0,127222
149,0,126153
150,0,126344
151,0,125510
152,0,125841
153,0,125912
154,0,127443
155,0,128549
156,0,126126
157,0,125982
158,0,125874
159,0,126191
160,0,125558
161,0,127112
162,0,135539
163,0,126788
164,0,125827
165,0,126171
166,0,126260
167,0,132731
168,0,127506
169,0,126686
170,0,126077
171,0,129491
172,0,125874
173,0,127134
174,0,130137
175,0,126754
176,0,128757
177,0,127255
178,0,125805
179,0,125807
180,0,126713
181,0,128101
182,0,127364
183,0,129464
184,0,126371
185,0,127209
186,0,125619
187,0,129585
188,0,128215
189,0,126364
190,0,126479
191,0,125510
192,0,127218
193,0,127296
194,0,126321
195,0,127689
196,0,128990
197,0,127347
198,0,126332
199,0,126005
200,0,129056
201,0,127444
202,0,126685
203,0,134800
204,0,127944
205,0,126080
206,0,129014
207,0,125785
208,0,133777
209,0,126617
210,0,128205
211,0,126362
212,0,125606
213,0,126588
214,0,125505
215,0,129372
216,0,125907
217,0,126960
218,0,126083
219,0,126584
220,0,126305
221,0,125821
222,0,126196
223,0,126579
224,0,131095
225,0,126949
226,0,128105
227,0,127512
228,0,128541
229,0,129763
230,0,125915
231,0,129809
232,0,126815
233,0,127682
234,0,125625
235,0,128122
236,0,127686
237,0,127587
238,0,127534
239,0,126938
240,0,127719
241,0,131045
242,0,126378
243,0,127891
244,0,132796
245,0,131510
246,0,126866
247,0,126757
248,0,127209
249,0,131307
250,0,128528
251,0,126853
252,0,127705
253,0,127287
254,0,126041
255,0,129335
256,0,127134
257,0,126900
258,0,127866
259,0,129444
260,0,126503
261,0,127082
262,0,127141
263,0,127307
264,0,126673
265,0,129640
266,0,129250
267,0,129795
268,0,127582
269,0,128967
270,0,128370
271,0,127256
272,0,127949
273,0,129778
274,0,126466
275,0,144107
276,0,130265
277,0,139936
278,0,129675
279,0,126524
280,0,126013
281,0,128874
282,0,127025
283,0,127307
284,0,128820
285,0,129713
286,0,127706
287,0,125615
288,0,127475
289,0,127749
290,0,129377
291,0,129323
292,0,126722
293,0,126622
294,0,125393
295,0,127760
296,0,126186
297,0,128938
298,0,127487
299,0,128087
300,0,127598
301,0,126364
302,0,127738
303,0,127279
304,0,127772
305,0,128073
306,0,130053
307,0,125740
308,0,126299
309,0,132365
310,0,131309
311,0,128411
312,0,128376
313,0,127481
314,0,126750
315,0,125973
316,0,127506
317,0,126414
318,0,127396
319,0,126948
320,0,126770
321,0,126640
322,0,124972
323,0,128744
324,0,128661
325,0,127996
326,0,127371
327,0,130242
328,0,126956
329,0,128649
330,0,129402
331,0,127969
332,0,129889
333,0,128212
334,0,127060
335,0,128151
336,0,126508
337,0,129252
338,0,128615
339,0,127894
340,0,126691
341,0,127492
342,0,127366
343,0,125865
344,0,128494
