frame number,frequency,latency
0,0,221678
1,0,182879
2,0,127803
3,0,123565
4,0,126960
5,0,139104
6,0,136946
7,0,129939
8,0,123287
9,0,124518
10,0,203457
11,0,159453
12,0,139842
13,0,132893
14,0,122229
15,0,129972
16,0,134346
17,0,122390
18,0,130659
19,0,123271
20,0,136839
21,0,137620
22,0,124940
23,0,121345
24,0,122775
25,0,122493
26,0,128691
27,0,135477
28,0,123172
29,0,130026
30,0,125445
31,0,121914
32,0,131202
33,0,122747
34,0,136605
35,0,136618
36,0,126862
37,0,134512
38,0,123631
39,0,134838
40,0,135562
41,0,123702
42,0,132396
43,0,122318
44,0,133024
45,0,135453
46,0,122955
47,0,130346
48,0,125136
49,0,134449
50,0,184813
51,0,136072
52,0,135503
53,0,122502
54,0,135556
55,0,137858
56,0,128407
57,0,135748
58,0,123294
59,0,136600
60,0,136142
61,0,134998
62,0,138201
63,0,127888
64,0,137760
65,0,124397
66,0,136189
67,0,137257
68,0,137299
69,0,190990
70,0,138230
71,0,134693
72,0,121464
73,0,127112
74,0,133797
75,0,121847
76,0,129864
77,0,122814
78,0,134187
79,0,134355
80,0,124799
81,0,135218
82,0,135641
83,0,134773
84,0,134043
85,0,121185
86,0,131149
87,0,135861
88,0,133815
89,0,137394
90,0,121863
91,0,133076
92,0,123053
93,0,134840
94,0,135022
95,0,121830
96,0,127433
97,0,133283
98,0,121820
99,0,128070
100,0,122904
101,0,135418
102,0,136533
103,0,123774
104,0,133406
105,0,122867
106,0,133724
107,0,133734
108,0,121999
109,0,136921
110,0,134340
111,0,134098
112,0,133956
113,0,123061
114,0,128513
115,0,129794
116,0,122107
117,0,129994
118,0,122617
119,0,133615
120,0,134697
121,0,122877
122,0,129317
123,0,133940
124,0,121848
125,0,129024
126,0,122734
127,0,133589
128,0,135046
129,0,122258
130,0,131555
131,0,144918
132,0,138029
133,0,139350
134,0,129517
135,0,138931
136,0,126877
137,0,139120
138,0,126496
139,0,136951
140,0,198588
141,0,122329
142,0,134551
143,0,123380
144,0,132938
145,0,124354
146,0,135897
147,0,136687
148,0,124473
149,0,129898
150,0,124320
151,0,136034
152,0,137168
153,0,123447
154,0,130473
155,0,123161
156,0,135266
157,0,136554
158,0,123894
159,0,130222
160,0,125606
161,0,135849
162,0,136307
163,0,123154
164,0,130839
165,0,124380
166,0,136434
167,0,140496
168,0,124058
169,0,131623
170,0,126817
171,0,135571
172,0,136040
173,0,123226
174,0,131420
175,0,123151
176,0,134540
177,0,136797
178,0,123824
179,0,131974
180,0,123017
181,0,135691
182,0,143286
183,0,123703
184,0,132592
185,0,121965
186,0,129379
187,0,176120
188,0,108180
189,0,128818
190,0,118892
191,0,115081
192,0,129369
193,0,120280
194,0,129685
195,0,131055
196,0,123065
197,0,137912
198,0,124853
199,0,134958
200,0,137562
201,0,124326
202,0,130167
203,0,122779
204,0,135186
205,0,134603
206,0,123334
207,0,158437
208,0,124095
209,0,135853
210,0,135521
211,0,123535
212,0,129420
213,0,137755
214,0,135773
