frame number,frequency,latency
322,10,18556
325,10,11337
327,10,12217
329,10,11393
330,10,12605
331,10,10811
332,10,11583
335,10,12729
337,10,10787
339,10,12529
340,10,11315
341,10,11503
342,10,11219
343,10,11424
344,10,11313
345,10,13296
346,10,12615
348,10,10682
349,10,12894
350,10,11743
351,10,11219
352,10,11128
353,10,10242
354,10,10299
357,10,10192
358,10,10907
361,10,10641
363,10,10694
364,10,10934
365,10,10434
366,10,11024
369,10,10604
370,10,11317
371,10,11136
373,10,10579
376,10,10285
377,10,10800
381,10,10428
382,10,12633
383,10,10612
384,10,11157
386,10,10195
388,10,10333
389,10,10068
390,10,10159
392,10,9994
393,10,10067
395,10,9911
396,10,10140
398,10,10265
399,10,9801
400,10,10177
402,10,10023
403,10,10005
405,10,10337
406,10,10064
408,10,10881
409,10,10257
410,10,9897
412,10,10069
413,10,9948
415,10,10348
416,10,10075
417,10,9983
418,10,10022
419,10,10285
420,10,10277
422,10,9987
425,10,10478
427,10,10264
429,10,10432
430,10,9766
432,10,10623
434,10,9905
436,10,10556
437,10,10084
439,10,10160
440,10,10632
441,10,10003
443,10,10061
444,10,11141
446,10,10262
450,10,10568
451,10,10539
452,10,11819
453,10,11601
454,10,11010
455,10,13637
456,10,11563
457,10,11782
459,10,11895
460,10,10726
462,10,10547
463,10,10703
464,10,10837
465,10,10071
466,10,10227
468,10,10354
472,10,10238
474,10,10446
475,10,10553
476,10,10460
477,10,10701
478,10,11021
479,10,10794
480,10,11374
481,10,12490
482,10,11044
483,10,11661
484,10,11560
485,10,10514
486,10,11280
487,10,10987
488,10,11203
489,10,11919
490,10,11003
491,10,10760
493,10,10761
494,10,10599
497,10,10518
498,10,11409
499,10,10795
501,10,11936
503,10,12914
504,10,17888
506,10,16999
507,10,12207
508,10,14579
509,10,21856
510,10,18587
511,10,16866
512,10,17539
513,10,11216
514,10,13403
515,10,11712
517,10,12843
518,10,11864
519,10,11383
520,10,10607
522,10,10500
523,10,10314
524,10,10940
525,10,10454
527,10,10916
528,10,10001
529,10,10183
530,10,10717
531,10,11813
532,10,12085
534,10,11972
535,10,11329
536,10,10895
537,10,11087
539,10,11339
540,10,12258
541,10,10683
542,10,13640
543,10,10837
544,10,10691
546,10,10225
549,10,10852
550,10,10461
551,10,10457
553,10,12436
554,10,10360
557,10,10394
558,10,10289
559,10,10446
560,10,44429
561,10,18304
562,10,23485
563,10,13520
564,10,10652
565,10,12958
566,10,14084
567,10,13654
568,10,10816
570,10,10462
571,10,10599
573,10,10442
574,10,9981
575,10,10518
577,10,10479
579,10,11112
581,10,10776
582,10,9804
584,10,10925
585,10,10267
586,10,10237
588,10,10304
589,10,10200
591,10,9890
592,10,10219
593,10,11522
596,10,10086
598,10,10725
599,10,10195
600,10,10427
602,10,10661
603,10,10533
604,10,10278
605,10,10497
606,10,11083
607,10,10401
608,10,10494
609,10,10538
610,10,10129
611,10,10972
614,10,10435
615,10,10803
616,10,11500
618,10,11015
619,10,11554
620,10,11171
622,10,14042
623,10,13383
624,10,12870
625,10,13700
626,10,11288
627,10,11355
631,10,11100
633,10,11033
634,10,10948
635,10,10653
636,10,11091
638,10,10403
639,10,10597
640,10,10552
641,10,10775
642,10,10598
643,10,10621
644,10,11456
645,10,11192
646,10,11413
647,10,12021
651,10,11597
652,10,13075
653,10,11612
654,10,11815
655,10,11718
656,10,11849
657,10,12635
658,10,10807
659,10,11013
660,10,10688
661,10,12272
662,10,12755
663,10,13215
664,10,13304
665,10,13621
666,10,13189
667,10,11968
668,10,11884
670,10,13383
671,10,12939
672,10,12065
673,10,12988
674,10,12986
675,10,11795
676,10,11687
677,10,10074
678,10,10609
679,10,10674
680,10,10479
682,10,9896
683,10,9979
685,10,11297
686,10,11647
687,10,10736
689,10,10882
690,10,10202
691,10,10477
694,10,10322
695,10,12215
696,10,10539
697,10,10397
698,10,10184
699,10,10555
702,10,11068
703,10,10688
704,10,10256
705,10,10299
706,10,10554
707,10,11721
708,10,12373
710,10,12824
711,10,13787
713,10,11876
715,10,11659
716,10,13003
717,10,12704
718,10,11380
719,10,11736
720,10,10816
721,10,11785
722,10,11157
723,10,11899
724,10,13652
725,10,14392
726,10,11927
727,10,13841
728,10,11218
729,10,13159
730,10,12626
731,10,11062
732,10,12035
735,10,11352
736,10,12845
737,10,11100
739,10,10849
741,10,9815
742,10,10571
744,10,10409
745,10,11161
746,10,10411
748,10,10513
750,10,10221
751,10,10380
752,10,10126
753,10,10041
755,10,9848
758,10,10012
759,10,9823
761,10,10335
762,10,10073
763,10,11382
765,10,12775
766,10,14725
767,10,10974
768,10,10747
769,10,12788
770,10,12947
775,10,12253
778,10,11721
779,10,12498
780,10,10607
781,10,12051
783,10,11350
784,10,10288
785,10,11602
786,10,10595
788,10,10412
789,10,10199
791,10,10091
792,10,10228
794,10,10234
795,10,9947
797,10,10249
798,10,10027
801,10,10195
802,10,10315
803,10,10197
804,10,10558
805,10,10995
807,10,11101
809,10,11380
810,10,11311
811,10,11020
813,10,10459
814,10,10300
815,10,11392
817,10,9655
818,10,9992
820,10,13615
821,10,17455
822,10,12078
823,10,12940
824,10,10897
825,10,11674
826,10,10922
829,10,10884
830,10,11111
832,10,13868
834,10,15303
835,10,14688
836,10,15121
837,10,18851
838,10,15281
839,10,13268
840,10,15221
841,10,13106
842,10,16425
843,10,14985
844,10,13496
846,10,13452
847,10,29176
848,10,13898
849,10,34501
850,10,18517
851,10,14445
852,10,16103
853,10,14564
854,10,13885
855,10,13545
856,10,14770
858,10,14944
859,10,15076
860,10,13466
861,10,11452
863,10,13589
864,10,13722
865,10,12292
866,10,13663
867,10,13743
870,10,19377
871,10,13571
872,10,14747
873,10,14059
876,10,14043
877,10,14976
878,10,14659
879,10,15423
881,10,13712
882,10,13119
