frame number,frequency,latency
3,10,45434
4,10,8274
5,10,29695
6,10,28747
7,10,8752
8,10,9509
9,10,8550
10,10,8539
11,10,8512
12,10,8800
13,10,12928
14,10,11171
15,10,9757
16,10,8787
17,10,9176
18,10,12773
19,10,11683
20,10,11075
21,10,11372
22,10,10982
23,10,8851
24,10,10411
25,10,10100
26,10,29056
27,10,8008
28,10,16107
29,10,28216
30,10,10176
31,10,9968
32,10,9414
33,10,8952
34,10,7926
35,10,9406
36,10,9206
37,10,8835
38,10,10628
39,10,8717
40,10,9085
41,10,10158
42,10,10665
43,10,11046
44,10,8629
45,10,15609
46,10,9913
47,10,8450
48,10,8765
49,10,16320
50,10,17019
51,10,8801
52,10,8565
53,10,9676
54,10,16667
55,10,9045
56,10,12689
57,10,8146
58,10,29652
59,10,11519
60,10,11744
61,10,11672
62,10,16079
63,10,9800
64,10,13793
65,10,9715
66,10,21248
67,10,25029
68,10,11123
69,10,10849
70,10,25765
71,10,11605
72,10,9579
73,10,9641
74,10,11051
75,10,9167
76,10,10856
77,10,29091
78,10,26742
79,10,11019
80,10,11804
81,10,11038
82,10,9450
83,10,10841
84,10,13137
85,10,28553
86,10,12590
87,10,12356
88,10,12758
89,10,8526
90,10,31637
91,10,10442
92,10,8967
93,10,9790
94,10,12115
95,10,10844
96,10,30295
97,10,10721
98,10,14508
99,10,8888
100,10,9008
101,10,8577
102,10,9581
103,10,26218
104,10,9821
105,10,8766
106,10,11034
107,10,26535
108,10,9289
109,10,7944
110,10,9884
111,10,11668
112,10,8264
113,10,10058
114,10,8268
115,10,8584
116,10,9938
117,10,8653
118,10,12037
119,10,9266
120,10,10046
121,10,11768
122,10,8870
123,10,8451
124,10,17328
125,10,14169
126,10,10120
127,10,27887
128,10,8840
129,10,9091
130,10,7739
131,10,14742
132,10,15815
133,10,15994
134,10,16178
135,10,19876
136,10,14940
137,10,8783
138,10,11587
139,10,8557
140,10,16708
141,10,17053
142,10,8958
143,10,10658
144,10,8834
145,10,9250
146,10,9571
147,10,8897
148,10,8332
149,10,8343
150,10,13453
151,10,17917
152,10,14672
153,10,8900
154,10,15184
155,10,9199
156,10,10327
157,10,14512
158,10,14853
159,10,14793
160,10,16278
161,10,9285
162,10,14942
163,10,8774
164,10,9022
165,10,15859
166,10,18331
167,10,13351
168,10,14851
169,10,15118
170,10,15372
171,10,17759
172,10,14687
173,10,9944
174,10,9495
175,10,8831
176,10,17508
177,10,14762
178,10,16701
179,10,14528
180,10,14941
181,10,18207
182,10,8701
183,10,9536
184,10,14023
185,10,13193
186,10,14532
187,10,14553
188,10,8785
189,10,17575
190,10,14324
191,10,13653
192,10,17682
193,10,14686
194,10,15494
195,10,18222
196,10,14238
197,10,9893
198,10,15630
199,10,14472
200,10,11783
201,10,12315
202,10,10413
203,10,9314
204,10,8269
205,10,18241
206,10,9358
207,10,8366
208,10,8523
209,10,8080
210,10,15203
211,10,16282
212,10,17764
213,10,17397
214,10,9182
215,10,11769
216,10,13456
217,10,14837
218,10,8466
219,10,8392
220,10,10599
221,10,13194
222,10,14193
223,10,11161
224,10,9025
225,10,9329
226,10,8428
227,10,8928
228,10,10544
229,10,8346
230,10,14842
231,10,15869
232,10,15114
233,10,15102
234,10,8482
235,10,8948
236,10,11986
237,10,9986
238,10,11120
239,10,9032
240,10,10825
241,10,9600
242,10,16990
243,10,26347
244,10,14979
245,10,27938
246,10,9863
247,10,7928
248,10,17538
249,10,14024
250,10,8239
251,10,17749
252,10,14356
253,10,14215
254,10,10166
255,10,14981
256,10,10172
257,10,10218
258,10,9473
259,10,28635
260,10,8918
261,10,8280
262,10,15014
263,10,8263
264,10,8378
265,10,8352
266,10,15986
267,10,8799
268,10,8660
269,10,8535
270,10,13410
271,10,14579
272,10,11458
273,10,9896
274,10,17665
275,10,13646
276,10,9698
277,10,9151
278,10,21568
279,10,29440
280,10,8320
281,10,17336
282,10,9538
283,10,12008
284,10,8304
285,10,16606
286,10,14126
287,10,14474
288,10,15840
289,10,14723
290,10,11237
291,10,8664
292,10,11002
293,10,21332
294,10,15273
295,10,16017
296,10,27706
297,10,9427
298,10,8903
299,10,9827
300,10,9898
301,10,8394
302,10,8479
303,10,8501
304,10,12975
305,10,15332
306,10,36422
307,10,10995
308,10,10497
309,10,8998
310,10,7772
311,10,18783
312,10,9654
313,10,11863
314,10,15860
315,10,8666
316,10,8443
317,10,16127
318,10,10414
319,10,13362
320,10,11622
321,10,14124
322,10,8885
323,10,14939
324,10,18840
325,10,9131
326,10,8226
327,10,18327
328,10,14725
329,10,15278
330,10,8896
331,10,9041
