frame number,frequency,latency
71,10,12761
72,10,10424
73,10,10963
74,10,11991
75,10,12672
77,10,9521
78,10,12352
79,10,15593
81,10,8886
82,10,8429
83,10,8466
84,10,9986
85,10,11049
86,10,10327
87,10,9250
88,10,10340
89,10,9757
90,10,9930
91,10,9423
92,10,9397
93,10,9201
94,10,8737
95,10,9257
97,10,10088
98,10,11425
99,10,10282
100,10,8796
101,10,9398
102,10,8642
103,10,13787
105,10,11160
106,10,8720
107,10,10618
108,10,12042
110,10,8903
111,10,11244
112,10,14206
113,10,11580
114,10,10795
115,10,10678
116,10,9824
117,10,10183
118,10,10087
119,10,8837
120,10,8467
121,10,9017
122,10,8710
123,10,11578
124,10,9818
125,10,9297
126,10,8459
127,10,8959
128,10,8682
129,10,10161
130,10,8409
131,10,8998
132,10,10730
133,10,9485
135,10,8747
136,10,8494
137,10,8750
138,10,10339
139,10,9777
140,10,9051
141,10,11407
142,10,10765
143,10,11327
144,10,8750
145,10,8694
146,10,8988
147,10,9533
148,10,11774
149,10,9724
150,10,9505
151,10,9103
152,10,9360
153,10,9503
154,10,9082
155,10,9546
156,10,8736
157,10,8955
158,10,10473
159,10,9080
160,10,11197
161,10,8755
162,10,8710
163,10,10450
164,10,9426
165,10,8985
166,10,13575
167,10,12397
168,10,12456
169,10,10601
170,10,8981
171,10,10150
172,10,10283
173,10,10867
174,10,11273
175,10,10857
176,10,11619
177,10,12618
178,10,10686
179,10,11678
180,10,11945
181,10,11767
182,10,11789
187,10,10489
188,10,13120
191,10,11206
192,10,9748
194,10,9777
195,10,8956
197,10,8643
198,10,9298
199,10,8922
200,10,11116
202,10,10938
203,10,9541
204,10,8926
206,10,11120
208,10,9961
209,10,10854
210,10,11255
211,10,10594
212,10,9257
213,10,10439
214,10,9247
215,10,11073
216,10,10414
217,10,9081
218,10,12239
219,10,9666
220,10,10054
221,10,9335
222,10,8935
223,10,8917
224,10,9497
225,10,10026
227,10,9085
228,10,9042
229,10,10504
230,10,11167
231,10,11399
232,10,9191
233,10,8763
234,10,11392
235,10,9418
236,10,9173
237,10,12265
238,10,11344
240,10,9701
241,10,9522
242,10,9134
243,10,8491
244,10,9099
246,10,9794
247,10,11197
248,10,10373
249,10,9950
250,10,10218
251,10,9249
252,10,11119
253,10,10676
254,10,11543
255,10,10651
256,10,9443
257,10,11559
258,10,9692
259,10,8995
260,10,8649
261,10,9457
262,10,9980
263,10,10220
264,10,9206
265,10,8661
266,10,9173
267,10,10429
268,10,9341
269,10,9127
270,10,9015
271,10,10302
272,10,9841
273,10,11821
274,10,8787
275,10,9839
276,10,8847
277,10,13210
278,10,8856
279,10,9921
280,10,9024
282,10,8843
283,10,10878
284,10,8889
285,10,8975
286,10,11279
287,10,9297
288,10,9151
289,10,8674
291,10,8987
292,10,11683
293,10,8933
294,10,10131
295,10,9670
296,10,9509
297,10,8857
298,10,8838
300,10,10884
301,10,9547
302,10,10683
303,10,9232
304,10,9077
305,10,8727
306,10,13105
307,10,10671
308,10,10517
309,10,9617
310,10,9347
311,10,11760
312,10,8582
313,10,10723
314,10,8808
316,10,9797
317,10,10599
318,10,9864
319,10,11433
320,10,8931
321,10,9955
322,10,12398
323,10,11158
324,10,8516
325,10,12480
326,10,9195
327,10,9902
328,10,9314
329,10,10927
330,10,8782
331,10,8796
333,10,9981
334,10,8766
335,10,8774
336,10,10455
337,10,9408
338,10,11406
339,10,10650
340,10,11608
341,10,11834
342,10,9315
343,10,11133
344,10,9134
345,10,12915
346,10,11067
347,10,12196
348,10,10062
349,10,9690
350,10,9605
351,10,10654
352,10,10244
353,10,12049
354,10,11067
355,10,9352
356,10,9252
358,10,10504
359,10,12530
360,10,9122
361,10,11812
362,10,11837
364,10,10345
365,10,9393
366,10,8991
367,10,9686
368,10,8974
369,10,8804
371,10,9880
372,10,9314
373,10,8537
374,10,11362
375,10,10417
376,10,10800
378,10,8814
379,10,8968
380,10,9575
381,10,9292
382,10,11404
383,10,9020
384,10,10421
385,10,8680
386,10,10203
387,10,9188
388,10,10398
389,10,9264
390,10,10234
391,10,11868
392,10,9739
393,10,11670
395,10,9583
396,10,10057
397,10,11231
398,10,11273
399,10,12607
400,10,11435
401,10,10447
402,10,11223
403,10,11691
404,10,9953
405,10,9375
406,10,8405
408,10,9424
409,10,9925
410,10,10483
411,10,9166
412,10,8505
413,10,10247
414,10,9724
415,10,9286
416,10,9966
417,10,8877
418,10,8681
419,10,9690
421,10,9018
422,10,10100
423,10,8784
424,10,8546
425,10,9117
426,10,10898
427,10,8911
428,10,9777
429,10,8698
431,10,8894
432,10,8669
433,10,9125
434,10,8652
435,10,10588
436,10,9831
437,10,9792
438,10,9929
439,10,10864
441,10,12118
442,10,9368
443,10,9007
444,10,10508
445,10,9317
446,10,11944
447,10,10240
449,10,8797
450,10,9222
451,10,9456
452,10,10315
453,10,8717
454,10,10188
455,10,9145
456,10,9967
458,10,9318
459,10,10693
460,10,8568
462,10,10632
466,10,10742
467,10,8415
468,10,9334
469,10,9096
470,10,10709
471,10,8549
472,10,8363
473,10,9564
474,10,9056
475,10,8953
476,10,8443
477,10,9116
478,10,9369
479,10,9867
480,10,9259
481,10,8388
482,10,8720
483,10,9033
484,10,9375
485,10,11344
486,10,9286
487,10,8702
488,10,8385
489,10,9594
490,10,8975
491,10,9211
492,10,9114
493,10,11016
494,10,10415
495,10,9733
496,10,9575
497,10,8383
498,10,8615
499,10,9182
500,10,9500
501,10,8545
502,10,8441
503,10,8949
504,10,9188
505,10,10925
506,10,10745
507,10,8988
508,10,8239
509,10,8666
510,10,8883
511,10,10535
512,10,9957
513,10,10706
514,10,10390
515,10,9925
517,10,12200
518,10,12581
519,10,12453
520,10,11192
521,10,10912
522,10,11275
523,10,11551
524,10,11515
525,10,9868
526,10,10642
527,10,10271
528,10,12442
530,10,9982
531,10,11507
532,10,10776
533,10,13943
534,10,10969
535,10,10310
537,10,11664
538,10,10149
539,10,10839
540,10,11745
541,10,10987
542,10,8724
543,10,8863
544,10,9105
545,10,9007
546,10,9314
549,10,9708
550,10,9044
551,10,10238
552,10,9456
553,10,8788
554,10,7934
555,10,9154
556,10,9837
557,10,10684
558,10,9466
559,10,8736
560,10,9501
561,10,11548
562,10,9287
563,10,11029
564,10,8947
565,10,9736
566,10,8596
567,10,8798
568,10,9271
569,10,8717
570,10,10432
571,10,10019
572,10,8635
573,10,9608
574,10,10920
575,10,9722
576,10,9153
577,10,8369
578,10,8463
579,10,8839
580,10,11054
581,10,9442
582,10,10271
583,10,9029
584,10,9006
585,10,8533
586,10,10769
587,10,10732
588,10,10347
589,10,11133
590,10,12005
591,10,9702
592,10,9379
593,10,9299
594,10,10016
595,10,11387
596,10,9655
597,10,8520
598,10,12121
599,10,11393
600,10,8547
601,10,9694
602,10,11539
603,10,10089
604,10,9791
605,10,9809
606,10,9529
608,10,11149
610,10,9908
611,10,8841
612,10,8708
613,10,8839
614,10,10815
615,10,9294
616,10,8808
617,10,8948
618,10,10851
619,10,8459
620,10,9814
621,10,10368
622,10,9359
623,10,9387
624,10,10587
625,10,10511
626,10,8448
627,10,9906
628,10,8751
629,10,10443
630,10,8773
631,10,9456
632,10,11493
633,10,12149
634,10,11567
635,10,12524
637,10,9209
638,10,9709
639,10,9143
640,10,10304
641,10,10971
642,10,9201
643,10,8949
644,10,9081
645,10,10536
646,10,8783
647,10,9047
648,10,10007
649,10,8705
650,10,11044
651,10,8550
652,10,10553
653,10,10503
654,10,10639
655,10,10199
656,10,9062
657,10,11547
658,10,8948
659,10,10526
660,10,10964
661,10,8982
662,10,9522
663,10,9627
664,10,9003
665,10,8993
666,10,8972
667,10,8662
668,10,11703
669,10,10462
670,10,9326
671,10,8764
672,10,10905
673,10,9290
674,10,10610
675,10,10769
676,10,10984
678,10,10065
679,10,8730
680,10,9730
681,10,8664
682,10,10453
683,10,11069
684,10,10045
685,10,10505
686,10,11338
687,10,11576
688,10,10963
689,10,9956
690,10,12767
691,10,12394
693,10,12106
694,10,10335
695,10,11054
696,10,13310
697,10,11949
698,10,9531
699,10,10349
700,10,10691
701,10,9531
702,10,11943
704,10,10661
705,10,9589
706,10,10596
707,10,9540
708,10,10514
709,10,8919
711,10,10977
712,10,9194
714,10,8832
715,10,9524
716,10,9897
717,10,8903
718,10,8399
719,10,8592
721,10,9602
722,10,8719
723,10,9120
725,10,9579
726,10,10700
728,10,10459
729,10,10238
730,10,9190
731,10,9312
732,10,9668
733,10,9666
734,10,8826
735,10,9248
736,10,10900
737,10,10828
738,10,9420
739,10,9593
740,10,11580
741,10,10288
743,10,11693
744,10,11574
746,10,7991
747,10,9586
748,10,9573
749,10,8702
750,10,9721
751,10,9771
752,10,9286
753,10,9791
754,10,8790
755,10,10930
756,10,8945
757,10,8644
759,10,8909
760,10,9343
761,10,9108
762,10,9380
763,10,10564
764,10,9178
765,10,9548
766,10,10271
767,10,9221
769,10,9000
770,10,8504
771,10,8914
772,10,8818
773,10,10325
774,10,8567
775,10,8599
776,10,8320
777,10,10293
778,10,10304
779,10,10403
780,10,9692
782,10,8780
783,10,8573
784,10,11411
785,10,9830
786,10,9278
787,10,8709
788,10,8609
789,10,8814
790,10,9726
791,10,9997
792,10,8815
793,10,8808
794,10,9100
795,10,9569
796,10,9666
797,10,9328
799,10,11551
800,10,9016
801,10,9916
802,10,10880
803,10,10043
804,10,9079
805,10,9705
806,10,8591
807,10,8979
808,10,9616
809,10,12046
810,10,11657
812,10,9088
813,10,9992
814,10,11294
815,10,8600
816,10,9642
818,10,10697
819,10,10056
820,10,11581
821,10,11043
822,10,8219
823,10,8322
824,10,9157
825,10,10318
826,10,10409
827,10,8761
828,10,8993
829,10,8552
830,10,9074
831,10,8273
832,10,9343
833,10,9162
834,10,10312
835,10,9152
836,10,10016
837,10,10900
838,10,10982
